RA,Dec,mag,x,y,x0,y0
263.73375,12.56,2.08,,,,
257.5945833,-15.72472222,2.43,,,,
249.2895833,-10.56722222,2.56,,,,
243.58625,-3.694444444,2.74,,,,
265.8683333,4.567222222,2.77,,,,
254.4170833,9.375,3.2,,,,
244.5804167,-4.6925,3.24,,,,
260.5025,-24.99944444,3.27,,,,
269.7566667,-9.773611111,3.34,,,,
271.8375,9.563888889,3.73,,,,
266.9733333,2.707222222,3.75,,,,
247.7283333,1.983888889,3.82,,,,
270.16125,2.931666667,3.97,,,,
271.36375,2.499444444,4.03,,,,
261.5925,-24.17527778,4.17,,,,
247.7845833,-16.61277778,4.28,,,,
261.83875,-29.86694444,4.29,,,,
261.62875,4.140277778,4.34,,,,
253.5020833,10.16527778,4.38,,,,
260.2508333,-21.11277778,4.39,,,,
246.7558333,-18.45638889,4.42,,,,
248.0341667,-21.46638889,4.45,,,,
270.4383333,1.305277778,4.45,,,,
246.0258333,-20.0375,4.5,,,,
261.6579167,-5.086666667,4.54,,,,
264.46125,-8.118888889,4.62,,,,
246.9504167,-8.371666667,4.63,,,,
270.0658333,4.368611111,4.64,,,,
271.8266667,8.733888889,4.64,,,,
252.4583333,-10.78305556,4.65,,,,
259.1529167,-0.445277778,4.73,,,,
262.8541667,-23.96277778,4.81,,,,
255.265,-4.2225,4.82,,,,
275.2170833,3.377222222,4.86,,,,
265.8575,-21.68333333,4.87,,,,
250.3933333,-17.74222222,4.96,,,,
246.3966667,-23.44722222,5.02,,,,
259.6541667,10.86444444,5.03,,,,
258.8366667,-26.60138889,5.07,,,,
258.8375,-26.60277778,5.11,,,,
259.5029167,-24.28694444,5.2,,,,
246.93125,-7.598055556,5.23,,,,
270.7704167,-8.180555556,5.24,,,,
253.64875,-6.153888889,5.25,,,,
262.5991667,-1.0625,5.31,,,,
258.1158333,10.58527778,5.33,,,,
260.84,-28.14305556,5.35,,,,
247.1416667,0.665,5.39,,,,
274.7895833,7.259722222,5.39,,,,
279.1158333,9.1225,5.39,,,,
262.2070833,0.330555556,5.44,,,,
279.1629167,6.671944444,5.45,,,,
269.19875,-4.081944444,5.47,,,,
252.85375,1.216111111,5.51,,,,
272.6679167,3.324166667,5.51,,,,
257.45,-10.52333333,5.56,,,,
250.47375,-19.92444444,5.57,,,,
254.2,-23.15,5.58,,,,
262.83875,2.724444444,5.59,,,,
263.3745833,-5.744722222,5.62,,,,
256.3845833,-0.891944444,5.64,,,,
276.4116667,8.031944444,5.65,,,,
247.4454167,-14.55083333,5.68,,,,
272.475,3.119722222,5.69,,,,
272.3908333,3.993333333,5.73,,,,
250.4270833,1.181111111,5.74,,,,
249.0895833,-2.324722222,5.75,,,,
255.0395833,-24.98916667,5.75,,,,
260.99,8.852777778,5.77,,,,
