RA,Dec,mag,x,y,x0,y0
78.63458333,-8.201666667,0.12,,,,
88.79291667,7.406944444,0.5,,,,
81.28291667,6.349722222,1.64,,,,
84.05333333,-1.201944444,1.7,,,,
85.18958333,-1.942777778,2.05,,,,
86.93916667,-9.669722222,2.06,,,,
83.00166667,-0.299166667,2.23,,,,
83.85833333,-5.91,2.77,,,,
72.46,6.961388889,3.19,,,,
81.11916667,-2.396944444,3.36,,,,
83.78458333,9.934166667,3.54,,,,
79.40166667,-6.844444444,3.6,,,,
72.80166667,5.605,3.69,,,,
73.56291667,2.440555556,3.72,,,,
84.68666667,-2.6,3.81,,,,
74.09291667,13.51444444,4.07,,,,
84.22625,9.290555556,4.09,,,,
90.59583333,9.6475,4.12,,,,
80.98666667,-7.808055556,4.14,,,,
82.69625,5.948055556,4.2,,,,
85.19,-1.942777778,4.21,,,,
72.65291667,8.900277778,4.36,,,,
83.705,9.489444444,4.41,,,,
88.59541667,20.27611111,4.41,,,,
91.89291667,14.76833333,4.42,,,,
78.32291667,2.861111111,4.46,,,,
74.63708333,1.714166667,4.47,,,,
92.985,14.20888889,4.48,,,,
90.01416667,-3.074166667,4.53,,,,
84.79625,4.121388889,4.57,,,,
81.70916667,3.095555556,4.59,,,,
83.84666667,-4.838333333,4.59,,,,
82.9825,-7.301388889,4.62,,,,
90.98,20.13833333,4.63,,,,
73.72416667,10.15083333,4.65,,,,
76.14208333,15.40416667,4.68,,,,
82.43333333,-1.092222222,4.71,,,,
80.44041667,-0.3825,4.73,,,,
73.13333333,14.25055556,4.74,,,,
83.76125,-6.001944444,4.78,,,,
88.11,1.855,4.78,,,,
84.72125,-7.213055556,4.8,,,,
77.425,15.59722222,4.82,,,,
94.99833333,-2.944444444,4.9,,,,
85.61916667,1.474722222,4.91,,,,
81.18666667,1.846388889,4.95,,,,
85.21083333,-1.128888889,4.95,,,,
93.01375,16.13055556,4.95,,,,
80.70833333,3.544444444,5,,,,
94.11083333,12.27222222,5.04,,,,
81.12041667,-0.891388889,5.08,,,,
83.84541667,-5.416111111,5.08,,,,
83.81875,-5.389722222,5.13,,,,
90.86375,19.69055556,5.14,,,,
77.92333333,16.04555556,5.18,,,,
73.69541667,11.42611111,5.19,,,,
93.71208333,19.15638889,5.2,,,,
89.70666667,0.553055556,5.22,,,,
83.91458333,-4.855833333,5.26,,,,
87.00083333,6.454166667,5.27,,,,
93.85458333,16.14305556,5.3,,,,
73.345,2.508055556,5.33,,,,
73.69916667,7.779166667,5.33,,,,
93.9375,12.55111111,5.33,,,,
76.97041667,8.498333333,5.34,,,,
79.79666667,2.595833333,5.34,,,,
83.38083333,-1.156111111,5.34,,,,
83.17208333,-1.591944444,5.35,,,,
87.84166667,-7.518055556,5.35,,,,
83.56958333,3.766944444,5.36,,,,
71.50708333,11.70555556,5.37,,,,
94.2775,9.9425,5.39,,,,
71.1075,11.14611111,5.4,,,,
88.95541667,20.175,5.4,,,,
77.33166667,9.829444444,5.43,,,,
82.81041667,3.292222222,5.46,,,,
78.68375,5.156111111,5.5,,,,
79.01708333,11.34138889,5.56,,,,
83.80583333,10.24,5.6,,,,
81.25666667,-10.32916667,5.61,,,,
83.78541667,9.935,5.61,,,,
91.24333333,4.158611111,5.63,,,,
83.47625,14.30555556,5.64,,,,
93.89291667,-0.512222222,5.65,,,,
83.75375,-6.009166667,5.67,,,,
91.2425,5.42,5.67,,,,
80.3825,-0.416388889,5.68,,,,
95.0175,14.65111111,5.69,,,,
80.92625,-0.159722222,5.7,,,,
89.72166667,12.80861111,5.7,,,,
94.31708333,5.100277778,5.71,,,,
84.14875,-6.065,5.72,,,,
92.24125,2.499444444,5.73,,,,
93.00541667,19.79055556,5.75,,,,
82.47833333,1.789166667,5.78,,,,
82.34833333,-3.446388889,5.79,,,,
86.71708333,9.522222222,5.79,,,,
80.43166667,8.428611111,5.8,,,,
87.51083333,9.871111111,5.8,,,,
73.95958333,15.04,5.81,,,,
93.47625,-3.741388889,5.83,,,,
88.87625,-4.616388889,5.87,,,,
89.20625,11.52111111,5.87,,,,
84.50458333,7.541388889,5.88,,,,
93.61916667,17.90638889,5.88,,,,
77.93875,1.036944444,5.89,,,,
77.83,-2.490833333,5.9,,,,
80.82708333,-8.415833333,5.9,,,,
89.60166667,1.836944444,5.9,,,,
78.20083333,-6.057222222,5.91,,,,
93.78541667,13.85111111,5.91,,,,
75.45958333,0.722222222,5.92,,,,
88.73625,19.74972222,5.92,,,,
83.51666667,-1.470555556,5.93,,,,
85.27333333,0.337777778,5.93,,,,
82.60875,15.36027778,5.94,,,,
84.26833333,11.035,5.94,,,,
86.64583333,1.168055556,5.95,,,,
84.6575,-6.573888889,5.96,,,,
87.14541667,-4.094722222,5.97,,,,
87.55458333,4.423333333,5.97,,,,
88.03166667,-9.041388889,5.97,,,,
87.625,2.024444444,5.98,,,,
73.71125,0.4675,5.99,,,,
89.11666667,9.509722222,5.99,,,,
84.88,-3.564722222,6,,,,
88.68375,0.968333333,6,,,,
95.65208333,12.57,6,,,,
85.72416667,-6.796111111,6.02,,,,
72.18583333,3.588333333,6.03,,,,
86.86125,-10.53305556,6.03,,,,
92.86625,13.63861111,6.04,,,,
76.22708333,-3.039722222,6.05,,,,
84.36416667,-5.938333333,6.05,,,,
88.0975,19.86805556,6.06,,,,
93.91708333,6.066111111,6.07,,,,
90.85291667,11.68083333,6.08,,,,
74.7475,14.54277778,6.09,,,,
78.38166667,1.968055556,6.09,,,,
86.25791667,4.008055556,6.09,,,,
77.51333333,-0.565277778,6.1,,,,
72.93083333,9.975,6.11,,,,
80.96416667,-0.867222222,6.11,,,,
84.33041667,8.951944444,6.12,,,,
88.55583333,10.58694444,6.12,,,,
78.82666667,-1.409166667,6.15,,,,
81.44583333,0.520833333,6.16,,,,
81.8075,15.25777778,6.16,,,,
94.52333333,14.38277778,6.16,,,,
76.34875,1.1775,6.17,,,,
76.90958333,9.471944444,6.17,,,,
84.4725,-4.813611111,6.19,,,,
82.5825,4.204166667,6.21,,,,
82.83708333,-6.708333333,6.22,,,,
83.51625,-1.035555556,6.22,,,,
85.15541667,-2.825,6.22,,,,
89.47583333,1.224444444,6.22,,,,
89.54875,-0.994166667,6.22,,,,
74.32166667,-1.067222222,6.23,,,,
81.51,-5.518333333,6.23,,,,
75.5,1.608888889,6.24,,,,
83.84375,-4.425277778,6.24,,,,
94.66875,9.047222222,6.24,,,,
96.36708333,14.72194444,6.24,,,,
77.74166667,-2.253888889,6.25,,,,
88.8975,-4.788333333,6.28,,,,
85.78875,-1.613055556,6.31,,,,
88.56541667,3.225277778,6.31,,,,
75.16583333,-2.065555556,6.32,,,,
78.44666667,0.560277778,6.32,,,,
81.15083333,2.352777778,6.32,,,,
94.7575,17.325,6.32,,,,
71.60041667,-2.954444444,6.33,,,,
82.58625,-7.434722222,6.33,,,,
92.7575,18.12944444,6.33,,,,
96.22041667,16.05694444,6.33,,,,
79.89666667,-1.412222222,6.34,,,,
86.51166667,-4.268333333,6.34,,,,
74.545,-2.2125,6.35,,,,
80.87958333,5.3225,6.35,,,,
82.145,13.67888889,6.35,,,,
78.38875,-8.147777778,6.37,,,,
93.975,1.169166667,6.37,,,,
83.87958333,-4.364722222,6.38,,,,
80.11,-5.366666667,6.39,,,,
82.23625,-3.3075,6.39,,,,
94.09916667,17.18138889,6.39,,,,
83.89916667,-3.252777778,6.4,,,,
82.00666667,1.298333333,6.41,,,,
79.17125,1.947222222,6.42,,,,
81.66166667,6.869166667,6.42,,,,
85.41791667,-2.896111111,6.42,,,,
93.3025,10.6275,6.45,,,,
83.28,-1.718333333,6.46,,,,
73.99333333,5.399166667,6.5,,,,
84.87833333,-9.706666667,6.5,,,,
85.19166667,-10.40944444,6.52,,,,
84.0625,-5.648055556,6.54,,,,
95.21791667,11.75638889,6.54,,,,
92.19666667,8.67,6.55,,,,
83.84083333,-4.493333333,6.56,,,,
80.33041667,4.011944444,6.57,,,,
81.38,-0.544166667,6.57,,,,
88.64458333,-4.063888889,6.57,,,,
94.24333333,7.053055556,6.57,,,,
93.38916667,18.68027778,6.58,,,,
83.49,1.407777778,6.59,,,,
88.63416667,11.7625,6.59,,,,
90.57125,1.694444444,6.59,,,,
94.38875,14.05833333,6.59,,,,
89.01458333,13.92527778,6.6,,,,
73.4825,1.569444444,6.61,,,,
93.185,-2.504444444,6.62,,,,
89.90708333,-1.444444444,6.63,,,,
94.08833333,1.080277778,6.63,,,,
93.94583333,4.283611111,6.64,,,,
84.69625,-2.594166667,6.65,,,,
75.14125,3.616111111,6.66,,,,
77.9225,0.514722222,6.67,,,,
83.82208333,-5.387777778,6.7,,,,
88.32958333,20.29916667,6.71,,,,
83.81625,-5.387222222,6.73,,,,
83.00208333,-0.284444444,6.85,,,,
75.13583333,3.615277778,7.03,,,,
83.81708333,-5.385277778,7.96,,,,
