name,RA,Dec,l,b,x,y
PSR J0002+6216,0.74,62.27,,,,
PSR J0007+7303,1.75,73.05,,,,
PSR J0023+0923,5.82,9.39,,,,
PSR J0030+0451,7.61,4.86,,,,
PSR J0034-0534,8.59,-5.58,,,,
PSR J0101-6422,15.3,-64.38,,,,
PSR J0102+4839,15.71,48.66,,,,
PSR J0106+4855,16.6,48.93,,,,
PSR J0205+6449,31.41,64.83,,,,
PSR J0218+4232,34.53,42.54,,,,
PSR J0248+4230,42.13,42.51,,,,
PSR J0248+6021,42.08,60.36,,,,
PSR J0251+2606,42.76,26.1,,,,
PSR J0307+7443,46.98,74.72,,,,
PSR J0318+0253,49.56,2.88,,,,
PSR J0340+4130,55.1,41.51,,,,
PSR J0357+3205,59.47,32.09,,,,
PSR J0359+5414,59.86,54.25,,,,
PSR J0437-4715,69.32,-47.25,,,,
PSR J0514-4407,78.72,-44.14,,,,
PSR J0533+6759,83.48,67.99,,,,
PSR J0534+2200,83.63,22.01,,,,
PSR J0540-6919,85.05,-69.33,,,,
PSR J0554+3107,88.52,31.13,,,,
PSR J0605+3757,91.27,37.96,,,,
PSR J0610-2100,92.56,-21.01,,,,
PSR J0613-0200,93.43,-2.01,,,,
PSR J0614-3329,93.54,-33.5,,,,
PSR J0621+2514,95.3,25.23,,,,
PSR J0622+3749,95.54,37.82,,,,
PSR J0631+0646,97.97,6.77,,,,
PSR J0631+1036,97.86,10.62,,,,
PSR J0633+0632,98.43,6.54,,,,
PSR J0633+1746,98.48,17.77,,,,
PSR J0636+5129,99.02,51.48,,,,
PSR J0659+1414,104.95,14.24,,,,
PSR J0729-1448,112.32,-14.81,,,,
PSR J0729-1836,112.38,-18.61,,,,
PSR J0734-1559,113.69,-15.99,,,,
PSR J0737-3039A,114.46,-30.66,,,,
PSR J0740+6620,115.19,66.34,,,,
PSR J0742-2822,115.7,-28.38,,,,
PSR J0751+1807,117.79,18.13,,,,
PSR J0835-4510,128.84,-45.18,,,,
PSR J0908-4913,137.15,-49.22,,,,
PSR J0922+0638,140.56,6.64,,,,
PSR J0931-1902,142.83,-19.05,,,,
PSR J0940-5428,145.24,-54.48,,,,
PSR J0955-6150,148.83,-61.84,,,,
PSR J1012-4235,153.05,-42.6,,,,
PSR J1016-5857,154.09,-58.95,,,,
PSR J1019-5749,154.97,-57.82,,,,
PSR J1023-5746,155.76,-57.77,,,,
PSR J1024-0719,156.16,-7.32,,,,
PSR J1028-5819,157.12,-58.32,,,,
PSR J1035-6720,158.86,-67.34,,,,
PSR J1036-8317,159.17,-83.3,,,,
PSR J1044-5737,161.14,-57.62,,,,
PSR J1048-5832,162.05,-58.53,,,,
PSR J1055-6028,163.91,-60.48,,,,
PSR J1057-5226,164.5,-52.45,,,,
PSR J1057-5851,164.29,-58.85,,,,
PSR J1105-6037,166.25,-60.62,,,,
PSR J1105-6107,166.36,-61.13,,,,
PSR J1111-6039,167.95,-60.66,,,,
PSR J1112-6103,168.06,-61.06,,,,
PSR J1119-6127,169.81,-61.46,,,,
PSR J1124-3653,171,-36.89,,,,
PSR J1124-5916,171.16,-59.27,,,,
PSR J1125-5825,171.43,-58.42,,,,
PSR J1125-6014,171.48,-60.24,,,,
