RA,Dec,mag,x,y,x0,y0
306.4120833,-56.735,1.94,,,,
311.2395833,-66.20305556,3.42,,,,
302.1816667,-66.18194444,3.56,,,,
266.4333333,-64.72388889,3.62,,,,
300.1479167,-72.91055556,3.96,,,,
280.75875,-71.42805556,4.01,,,,
283.0541667,-62.1875,4.22,,,,
321.6108333,-65.36611111,4.22,,,,
272.145,-63.66833333,4.35,,,,
275.8066667,-61.49388889,4.36,,,,
284.2375,-67.23361111,4.44,,,,
277.8433333,-62.27833333,4.64,,,,
308.895,-60.58166667,4.76,,,,
281.3620833,-64.87138889,4.79,,,,
309.3970833,-61.53,4.88,,,,
318.3354167,-70.12638889,5.02,,,,
310.0108333,-60.54888889,5.12,,,,
300.43625,-59.37611111,5.13,,,,
284.6516667,-60.20055556,5.14,,,,
310.4879167,-66.76083333,5.15,,,,
299.2758333,-58.90138889,5.26,,,,
300.4683333,-66.94416667,5.31,,,,
287.4695833,-68.42472222,5.33,,,,
322.1870833,-69.50527778,5.34,,,,
297.3554167,-72.50333333,5.41,,,,
312.3254167,-68.77638889,5.41,,,,
297.6866667,-59.19305556,5.42,,,,
272.60875,-62.00222222,5.49,,,,
289.3,-66.66138889,5.53,,,,
273.9204167,-63.05555556,5.6,,,,
317.3429167,-73.17305556,5.68,,,,
282.1575,-65.07777778,5.73,,,,
299.6720833,-69.16388889,5.75,,,,
277.48625,-57.52305556,5.76,,,,
300.0958333,-66.94944444,5.76,,,,
317.1370833,-63.92888889,5.76,,,,
267.8979167,-60.16444444,5.78,,,,
280.905,-64.55111111,5.78,,,,
285.87375,-68.75527778,5.88,,,,
278.2304167,-73.96555556,5.89,,,,
292.7954167,-68.43388889,5.96,,,,
266.2325,-57.54527778,6.01,,,,
285.0145833,-66.65333333,6.01,,,,
281.2979167,-61.095,6.04,,,,
297.7554167,-65.605,6.05,,,,
282.43125,-72.99472222,6.06,,,,
301.3866667,-67.32083333,6.07,,,,
295.40625,-65.85416667,6.09,,,,
303.6120833,-63.41583333,6.09,,,,
321.3254167,-71.79944444,6.09,,,,
308.9654167,-69.61111111,6.11,,,,
276.38125,-63.02138889,6.14,,,,
274.9175,-63.88694444,6.18,,,,
294.6079167,-57.98333333,6.18,,,,
317.83625,-72.54416667,6.2,,,,
297.5904167,-61.06138889,6.21,,,,
281.34875,-56.88166667,6.22,,,,
309.9641667,-62.90777778,6.22,,,,
298.6683333,-61.17083333,6.24,,,,
289.11875,-69.19055556,6.27,,,,
304.7625,-63.23111111,6.27,,,,
312.9095833,-62.42916667,6.28,,,,
319.50125,-64.68166667,6.31,,,,
274.50375,-68.22916667,6.33,,,,
291.0225,-68.37111111,6.34,,,,
280.59375,-64.64305556,6.37,,,,
302.78,-57.52388889,6.37,,,,
315.3670833,-68.20972222,6.37,,,,
272.49,-59.04,6.38,,,,
294.9670833,-66.68555556,6.39,,,,
299.7208333,-68.76222222,6.39,,,,
271.95125,-64.55,6.41,,,,
321.0695833,-69.73416667,6.41,,,,
278.3729167,-58.70916667,6.44,,,,
297.4720833,-66.81277778,6.45,,,,
302.0854167,-66.35472222,6.45,,,,
273.5675,-63.68944444,6.47,,,,
284.2279167,-62.80111111,6.48,,,,
268.3266667,-65.48916667,6.49,,,,
299.2404167,-57.92555556,6.53,,,,
312.9116667,-62.42916667,6.59,,,,
273.6004167,-70.75138889,6.73,,,,
