RA,Dec,mag,x,y,x0,y0
326.0466667,9.875,2.39,,,,
345.94375,28.08277778,2.42,,,,
346.1904167,15.20527778,2.49,,,,
3.309166667,15.18361111,2.83,,,,
340.7504167,30.22138889,2.94,,,,
340.3654167,10.83138889,3.4,,,,
342.5008333,24.60166667,3.48,,,,
332.55,6.197777778,3.53,,,,
331.7529167,25.345,3.76,,,,
341.6329167,23.56555556,3.95,,,,
320.5216667,19.80444444,4.08,,,,
326.16125,25.645,4.13,,,,
341.6733333,12.17277778,4.19,,,,
332.4966667,33.17833333,4.29,,,,
326.1279167,17.35,4.34,,,,
351.345,23.40416667,4.4,,,,
346.75125,9.409444444,4.52,,,,
352.28875,12.76055556,4.55,,,,
322.4870833,23.63888889,4.57,,,,
350.1591667,23.74027778,4.6,,,,
359.4395833,25.14138889,4.66,,,,
346.7783333,25.46833333,4.76,,,,
336.9645833,4.695555556,4.79,,,,
340.4391667,29.3075,4.79,,,,
3.650833333,20.20666667,4.8,,,,
335.3304167,28.33055556,4.81,,,,
331.42,5.058611111,4.84,,,,
343.8070833,8.815833333,4.9,,,,
355.9979167,29.36166667,4.93,,,,
353.4883333,31.32527778,4.98,,,,
335.3795833,12.20527778,5.01,,,,
327.46125,30.17416667,5.04,,,,
355.8433333,10.33138889,5.06,,,,
328.2658333,25.925,5.08,,,,
350.7691667,12.31388889,5.08,,,,
358.1220833,19.12027778,5.08,,,,
347.38125,8.677222222,5.12,,,,
343.1004167,9.835555556,5.16,,,,
347.9341667,8.72,5.16,,,,
326.5183333,22.94888889,5.29,,,,
327.53625,17.28555556,5.29,,,,
325.5645833,5.68,5.3,,,,
358.1545833,10.9475,5.3,,,,
350.47875,31.8125,5.32,,,,
353.3670833,22.49888889,5.32,,,,
333.1991667,34.60472222,5.33,,,,
335.115,5.789444444,5.37,,,,
347.50625,9.821944444,5.39,,,,
324.4391667,19.31861111,5.45,,,,
337.4916667,4.431666667,5.48,,,,
344.36625,20.76888889,5.49,,,,
1.425,13.39611111,5.51,,,,
2.26,18.21194444,5.53,,,,
328.1245833,28.79333333,5.53,,,,
354.4866667,18.40055556,5.53,,,,
329.235,12.07638889,5.54,,,,
320.2683333,23.85583333,5.57,,,,
351.2116667,32.385,5.57,,,,
332.3066667,33.17222222,5.58,,,,
337.2833333,9.128888889,5.58,,,,
350.2066667,30.415,5.59,,,,
330.2725,13.11972222,5.6,,,,
353.6591667,33.49722222,5.63,,,,
326.8083333,2.686111111,5.64,,,,
343.2595833,16.84111111,5.64,,,,
330.2883333,8.257222222,5.65,,,,
337.5075,32.5725,5.65,,,,
324.6329167,5.771666667,5.67,,,,
328.4058333,19.66833333,5.68,,,,
331.3945833,28.96388889,5.7,,,,
340.2195833,14.54944444,5.71,,,,
347.6775,17.59444444,5.71,,,,
331.8691667,19.47555556,5.75,,,,
336.6558333,4.393611111,5.75,,,,
344.7991667,11.72888889,5.75,,,,
0.5425,27.08194444,5.75,,,,
327.8925,19.82666667,5.77,,,,
331.2975,26.67388889,5.78,,,,
331.9595833,21.70277778,5.78,,,,
332.6558333,11.62444444,5.78,,,,
337.2925,26.76305556,5.79,,,,
357.8383333,9.313333333,5.79,,,,
330.8291667,11.38638889,5.8,,,,
339.7191667,19.52222222,5.82,,,,
348.3604167,11.065,5.82,,,,
324.7545833,20.26527778,5.85,,,,
333.4108333,28.60833333,5.89,,,,
340.4891667,14.51638889,5.9,,,,
333.0333333,24.95,5.92,,,,
322.2495833,22.17944444,5.93,,,,
326.1304167,14.77194444,5.94,,,,
332.96375,16.04055556,5.95,,,,
354.9795833,9.677222222,5.97,,,,
357.4141667,28.8425,5.97,,,,
336.9425,31.84027778,5.98,,,,
351.9183333,25.16722222,5.98,,,,
346.8695833,21.13416667,5.99,,,,
330.0329167,6.7175,6,,,,
346.8654167,32.82583333,6.02,,,,
335.915,20.84833333,6.04,,,,
353.48125,20.84083333,6.06,,,,
321.61125,19.37555556,6.07,,,,
322.79,12.1375,6.08,,,,
325.6375,10.82472222,6.09,,,,
339.0329167,35.57722222,6.1,,,,
323.8625,24.45222222,6.11,,,,
332.0716667,25.54361111,6.11,,,,
358.0975,21.67083333,6.11,,,,
343.64875,16.94166667,6.12,,,,
346.5758333,18.5175,6.13,,,,
328.4908333,6.864444444,6.15,,,,
359.1729167,22.64805556,6.15,,,,
324.6875,25.49888889,6.16,,,,
335.2325,8.186666667,6.17,,,,
347.955,26.84722222,6.17,,,,
324.4320833,6.618333333,6.18,,,,
332.5791667,19.61694444,6.18,,,,
326.7695833,17.19416667,6.21,,,,
333.9991667,8.549444444,6.21,,,,
339.9458333,19.68111111,6.21,,,,
2.2175,25.46277778,6.23,,,,
3.73375,22.28416667,6.24,,,,
341.3675,19.36666667,6.25,,,,
1.233333333,26.64888889,6.25,,,,
336.4195833,18.44444444,6.26,,,,
354.4158333,16.82555556,6.26,,,,
318.37,15.9825,6.27,,,,
326.6,25.56333333,6.28,,,,
327.3620833,20.4625,6.29,,,,
350.66875,20.82861111,6.29,,,,
339.2695833,12.57722222,6.3,,,,
346.6329167,19.91083333,6.3,,,,
323.8291667,28.19722222,6.31,,,,
332.715,30.55305556,6.32,,,,
338.1954167,15.86333333,6.32,,,,
349.8641667,34.79333333,6.32,,,,
332.5925,14.63,6.33,,,,
340.3808333,30.96583333,6.34,,,,
331.875,18.00055556,6.35,,,,
337.8925,29.54277778,6.35,,,,
348.2666667,29.44166667,6.35,,,,
352.2733333,23.04777778,6.35,,,,
348.6520833,24.10305556,6.36,,,,
330.5058333,10.97388889,6.37,,,,
334.12375,27.80416667,6.37,,,,
331.1433333,32.94194444,6.38,,,,
328.5725,19.71833333,6.39,,,,
322.1033333,8.195555556,6.4,,,,
329.1,21.23972222,6.4,,,,
339.1516667,11.69694444,6.4,,,,
342.6629167,19.14083333,6.4,,,,
348.5904167,29.77166667,6.41,,,,
352.9295833,28.40361111,6.41,,,,
338.1479167,20.23,6.42,,,,
344.64625,9.356944444,6.43,,,,
322.2495833,17.90583333,6.44,,,,
346.27625,16.56305556,6.44,,,,
353.9829167,24.56111111,6.45,,,,
330.1116667,33.00611111,6.46,,,,
332.6258333,20.97805556,6.46,,,,
0.099583333,26.91833333,6.46,,,,
323.6416667,22.75472222,6.47,,,,
335.2504167,26.93527778,6.47,,,,
348.9429167,28.24777778,6.49,,,,
340.9279167,10.93916667,6.51,,,,
344.2145833,11.84833333,6.51,,,,
342.3845833,10.47888889,6.54,,,,
358.8458333,25.955,6.54,,,,
345.6379167,31.78055556,6.57,,,,
345.1770833,31.08305556,6.6,,,,
348.99125,24.77111111,6.6,,,,
350.4925,26.60888889,6.62,,,,
353.1025,34.9525,6.65,,,,
350.9479167,32.53138889,6.69,,,,
323.1129167,23.39444444,6.7,,,,
328.0758333,21.27305556,6.89,,,,
