RA,Dec,mag,x,y,x0,y0
51.08083333,49.86111111,1.79,,,,
47.04208333,40.95555556,2.12,,,,
58.53291667,31.88361111,2.85,,,,
59.46333333,40.01027778,2.89,,,,
46.19916667,53.50638889,2.93,,,,
55.73125,47.7875,3.01,,,,
46.29416667,38.84027778,3.39,,,,
42.67416667,55.89555556,3.76,,,,
56.29833333,42.57861111,3.77,,,,
47.37416667,44.85722222,3.8,,,,
56.07958333,32.28833333,3.83,,,,
43.56458333,52.7625,3.95,,,,
59.74125,35.79111111,4.04,,,,
62.16541667,47.7125,4.04,,,,
47.26666667,49.61333333,4.05,,,,
25.915,50.68861111,4.07,,,,
41.05,49.22833333,4.12,,,,
63.72458333,48.40944444,4.14,,,,
42.64625,38.31861111,4.23,,,,
54.1225,48.19277778,4.23,,,,
69.1725,41.26472222,4.25,,,,
61.64583333,50.35138889,4.29,,,,
52.64375,47.99527778,4.36,,,,
42.87833333,35.05972222,4.53,,,,
64.56083333,50.29555556,4.61,,,,
47.8225,39.61166667,4.63,,,,
52.34208333,49.50888889,4.67,,,,
44.69041667,39.66277778,4.7,,,,
63.72208333,40.48361111,4.71,,,,
46.385,56.70583333,4.76,,,,
49.6825,34.22277778,4.82,,,,
65.38833333,46.49888889,4.85,,,,
40.56208333,40.19388889,4.91,,,,
44.76541667,35.18305556,4.93,,,,
65.1025,34.56666667,4.93,,,,
50.36041667,43.32944444,4.95,,,,
55.59375,33.965,4.97,,,,
52.01291667,49.06277778,4.98,,,,
49.05083333,50.93777778,5.03,,,,
49.78166667,50.095,5.03,,,,
30.57541667,54.4875,5.04,,,,
44.32208333,31.93416667,5.11,,,,
57.38583333,33.09138889,5.11,,,,
49.6575,50.22222222,5.15,,,,
35.58916667,55.84555556,5.17,,,,
45.2175,52.35166667,5.28,,,,
59.15208333,50.69527778,5.28,,,,
66.52625,31.43888889,5.29,,,,
50.805,49.21333333,5.29,,,,
70.72625,43.365,5.29,,,,
53.10958333,46.05694444,5.31,,,,
43.4275,38.3375,5.33,,,,
58.9925,47.87138889,5.37,,,,
41.02166667,44.29694444,5.43,,,,
64.80541667,50.04888889,5.45,,,,
44.95791667,47.22083333,5.47,,,,
49.4475,44.025,5.47,,,,
53.03583333,48.02361111,5.47,,,,
59.11958333,35.08111111,5.49,,,,
62.1525,38.03972222,5.51,,,,
27.99708333,55.1475,5.52,,,,
65.04791667,50.92083333,5.55,,,,
55.28291667,37.58,5.57,,,,
52.21833333,49.84833333,5.58,,,,
56.13083333,36.46,5.59,,,,
51.12375,33.53583333,5.61,,,,
52.08666667,33.8075,5.61,,,,
56.49708333,45.68194444,5.66,,,,
57.51875,44.96777778,5.66,,,,
32.16875,58.42361111,5.67,,,,
70.35041667,48.30083333,5.67,,,,
29.64,49.20416667,5.69,,,,
62.74583333,33.58666667,5.72,,,,
66.12166667,34.13055556,5.73,,,,
34.49958333,57.89972222,5.75,,,,
58.41125,48.65055556,5.76,,,,
66.15583333,33.95972222,5.76,,,,
40.76166667,55.10583333,5.77,,,,
57.97375,34.35916667,5.77,,,,
28.03916667,50.79277778,5.79,,,,
48.95,57.14083333,5.79,,,,
53.39625,39.89944444,5.81,,,,
27.31541667,47.89694444,5.82,,,,
52.65416667,48.10361111,5.82,,,,
40.74875,53.52611111,5.84,,,,
70.84,49.97388889,5.87,,,,
42.92375,46.84194444,5.88,,,,
44.91625,41.03305556,5.89,,,,
27.73791667,51.93333333,5.9,,,,
48.35,48.17694444,5.9,,,,
53.16666667,35.46166667,5.9,,,,
65.06,41.80805556,5.92,,,,
50.46916667,49.07083333,5.93,,,,
49.44083333,39.28333333,5.96,,,,
71.685,40.31277778,5.97,,,,
34.51875,57.51666667,5.98,,,,
70.45958333,38.28027778,5.99,,,,
44.13916667,47.16388889,6.02,,,,
57.28416667,43.96305556,6.02,,,,
44.50958333,38.615,6.04,,,,
46.33666667,40.5825,6.05,,,,
49.14625,32.18361111,6.06,,,,
56.02666667,48.52361111,6.06,,,,
48.73625,42.50388889,6.07,,,,
71.05375,40.78694444,6.08,,,,
51.48916667,49.12083333,6.09,,,,
62.06375,37.72777778,6.09,,,,
68.35375,43.06388889,6.09,,,,
58.84583333,31.04583333,6.1,,,,
45.04916667,38.13166667,6.11,,,,
46.41625,56.06861111,6.11,,,,
56.17041667,46.09972222,6.11,,,,
57.07625,50.73666667,6.14,,,,
48.04,42.37611111,6.15,,,,
49.01958333,45.34583333,6.16,,,,
65.04166667,31.95333333,6.16,,,,
67.65958333,32.45805556,6.21,,,,
44.21083333,51.26083333,6.22,,,,
64.53416667,42.14111111,6.22,,,,
65.89958333,42.42805556,6.23,,,,
52.35916667,46.93777778,6.24,,,,
36.31666667,56.61,6.25,,,,
41.74291667,35.98361111,6.25,,,,
42.37833333,57.08416667,6.25,,,,
49.00791667,34.68861111,6.25,,,,
56.95375,32.195,6.25,,,,
58.01791667,31.16833333,6.25,,,,
28.21166667,51.47472222,6.26,,,,
43.33833333,48.56944444,6.26,,,,
67.85,40.01027778,6.26,,,,
35.96583333,55.36444444,6.28,,,,
52.8725,49.20972222,6.29,,,,
41.76458333,35.555,6.3,,,,
59.62125,38.84027778,6.3,,,,
32.5325,53.84305556,6.31,,,,
47.01625,52.21333333,6.31,,,,
48.94583333,32.85638889,6.31,,,,
48.11,47.72583333,6.33,,,,
32.87083333,57.64583333,6.36,,,,
43.21666667,52.99777778,6.36,,,,
59.91666667,38.82055556,6.38,,,,
25.05458333,53.86833333,6.39,,,,
52.95458333,49.40083333,6.39,,,,
46.9475,47.30833333,6.41,,,,
53.16291667,44.85555556,6.41,,,,
60.31125,36.99,6.41,,,,
54.50083333,42.58305556,6.42,,,,
33.42291667,58.56111111,6.44,,,,
28.45208333,55.59805556,6.45,,,,
42.36291667,37.32611111,6.45,,,,
49.2975,40.48333333,6.45,,,,
63.49833333,37.96694444,6.45,,,,
34.21541667,57.05527778,6.48,,,,
40.75791667,48.26555556,6.48,,,,
37.35416667,55.53638889,6.51,,,,
51.45166667,53.92166667,6.51,,,,
51.28916667,41.25722222,6.51,,,,
59.51291667,34.81444444,6.53,,,,
56.96916667,33.6,6.57,,,,
45.2225,52.35222222,6.74,,,,
