RA,Dec,mag,x,y,x0,y0
6.570833333,-42.30611111,2.39,,,,
16.52083333,-46.71861111,3.31,,,,
22.09125,-43.31833333,3.41,,,,
2.352916667,-45.7475,3.88,,,,
17.09625,-55.24583333,3.92,,,,
6.550833333,-43.68,3.94,,,,
22.81291667,-49.07277778,3.95,,,,
10.83833333,-57.46305556,4.36,,,,
28.41166667,-46.3025,4.41,,,,
10.33166667,-46.085,4.59,,,,
353.7691667,-42.615,4.71,,,,
354.4625,-45.4925,4.74,,,,
7.854166667,-48.80361111,4.77,,,,
29.29166667,-47.385,4.83,,,,
18.79625,-45.53138889,4.96,,,,
28.59166667,-42.49694444,5.11,,,,
359.7325,-52.74583333,5.13,,,,
30.42666667,-44.71361111,5.14,,,,
356.8166667,-50.22666667,5.18,,,,
16.94958333,-41.48694444,5.21,,,,
12.67166667,-50.98694444,5.22,,,,
15.705,-46.3975,5.36,,,,
21.17,-41.4925,5.42,,,,
7.11,-39.915,5.43,,,,
26.52416667,-50.81638889,5.49,,,,
8.92125,-48.00083333,5.51,,,,
0.333333333,-50.33722222,5.53,,,,
8.615833333,-52.37305556,5.57,,,,
29.91166667,-42.03055556,5.57,,,,
7.60875,-48.215,5.69,,,,
1.579166667,-49.075,5.7,,,,
10.44333333,-56.50166667,5.7,,,,
0.26875,-48.81,5.71,,,,
11.44,-47.55166667,5.8,,,,
32.28875,-43.51666667,5.85,,,,
33.63333333,-41.16666667,5.91,,,,
11.23791667,-42.67666667,5.94,,,,
27.72708333,-50.20611111,5.94,,,,
9.966666667,-44.79666667,6.01,,,,
352.8625,-44.84361111,6.02,,,,
358.6608333,-40.3,6.03,,,,
8.889166667,-54.82194444,6.06,,,,
354.8666667,-46.63777778,6.09,,,,
356.0058333,-45.08333333,6.09,,,,
15.5075,-57.0025,6.11,,,,
27.58416667,-47.81638889,6.14,,,,
11.25,-53.715,6.15,,,,
22.91291667,-45.57555556,6.17,,,,
26.82,-41.76,6.18,,,,
36.14083333,-40.84055556,6.18,,,,
7.615833333,-40.93944444,6.19,,,,
351.7879167,-50.15722222,6.2,,,,
7.179583333,-50.53277778,6.26,,,,
21.17458333,-44.52833333,6.26,,,,
12.23625,-46.69777778,6.27,,,,
23.15125,-49.72777778,6.28,,,,
0.08,-44.29055556,6.29,,,,
22.37666667,-46.75638889,6.31,,,,
35.54916667,-43.2,6.31,,,,
356.505,-40.1825,6.31,,,,
32.52041667,-43.81555556,6.32,,,,
2.26,-54.00194444,6.33,,,,
4.6775,-43.23527778,6.33,,,,
34.85291667,-41.84833333,6.37,,,,
9.325416667,-54.39416667,6.41,,,,
17.53083333,-57.69444444,6.41,,,,
352.2533333,-44.49777778,6.43,,,,
12.51541667,-43.39472222,6.48,,,,
25.42125,-50.03888889,6.64,,,,
12.96708333,-43.70916667,6.9,,,,
