RA,Dec,mag,x,y,x0,y0
102.0475,-61.94138889,3.27,,,,
86.82125,-51.06638889,3.85,,,,
87.45708333,-56.16666667,4.51,,,,
92.57458333,-54.96861111,4.81,,,,
76.24166667,-49.57777778,5.03,,,,
91.76416667,-62.15472222,5.05,,,,
87.72166667,-52.10888889,5.17,,,,
97.36875,-56.85277778,5.22,,,,
88.70916667,-52.63527778,5.29,,,,
70.69333333,-50.48138889,5.31,,,,
86.61416667,-46.59722222,5.31,,,,
75.7025,-49.15138889,5.38,,,,
79.84208333,-50.60611111,5.45,,,,
82.53958333,-47.07777778,5.46,,,,
72.73,-53.46138889,5.61,,,,
95.7325,-56.37,5.61,,,,
90.205,-51.21638889,5.67,,,,
97.99333333,-58.75416667,5.7,,,,
96.05708333,-60.28111111,5.8,,,,
89.65666667,-44.03444444,5.81,,,,
96.76666667,-58.00222222,5.82,,,,
82.90041667,-45.92527778,5.86,,,,
88.08458333,-57.15611111,5.94,,,,
78.47208333,-52.03111111,6.05,,,,
81.23166667,-44.22583333,6.08,,,,
88.67125,-49.62694444,6.1,,,,
80.59208333,-56.13444444,6.11,,,,
84.01125,-47.31388889,6.11,,,,
102.5045833,-60.24916667,6.11,,,,
97.79416667,-61.87972222,6.15,,,,
86.80416667,-54.36083333,6.18,,,,
99.5025,-61.53305556,6.18,,,,
76.2525,-54.4075,6.27,,,,
81.1925,-52.31638889,6.27,,,,
95.75541667,-63.68305556,6.27,,,,
96.23166667,-63.82777778,6.27,,,,
87.61916667,-52.76777778,6.35,,,,
87.39208333,-44.87527778,6.38,,,,
85.92125,-45.83305556,6.39,,,,
72.73458333,-53.45972222,6.42,,,,
83.435,-54.90222222,6.43,,,,
94.07708333,-59.21361111,6.43,,,,
69.76791667,-51.67277778,6.44,,,,
89.31,-53.42611111,6.45,,,,
90.53833333,-60.09694444,6.45,,,,
96.10958333,-63.42888889,6.46,,,,
95.94541667,-58.54388889,6.48,,,,
78.91208333,-52.18194444,6.49,,,,
88.54458333,-50.36194444,6.52,,,,
83.76,-58.87111111,6.75,,,,
