RA,Dec,mag,x,y,x0,y0
344.4129167,-29.62222222,1.16,,,,
340.1641667,-27.04361111,4.17,,,,
343.9870833,-32.53972222,4.21,,,,
337.87625,-32.34611111,4.29,,,,
326.2366667,-33.02583333,4.34,,,,
343.1316667,-32.87555556,4.46,,,,
332.0958333,-32.98861111,4.5,,,,
332.5366667,-32.54833333,4.92,,,,
332.1083333,-34.04388889,4.99,,,,
326.9341667,-30.89833333,5.01,,,,
345.8741667,-34.74944444,5.11,,,,
332.4820833,-34.01472222,5.37,,,,
330.2091667,-28.45361111,5.42,,,,
333.5783333,-27.76694444,5.43,,,,
344.8991667,-29.46222222,5.51,,,,
345.3308333,-28.85361111,5.55,,,,
333.435,-25.18083333,5.58,,,,
345.0241667,-25.16416667,5.65,,,,
339.7145833,-33.08138889,5.66,,,,
324.0458333,-26.17138889,5.73,,,,
339.1475,-31.66388889,5.82,,,,
340.0929167,-30.65888889,5.87,,,,
337.4416667,-27.10722222,5.95,,,,
331.1533333,-26.8225,5.96,,,,
323.0608333,-33.94472222,5.97,,,,
342.8370833,-29.53611111,5.97,,,,
343.9641667,-31.63305556,6.1,,,,
324.20375,-33.04805556,6.11,,,,
344.6458333,-35.52305556,6.13,,,,
334.1558333,-25.89833333,6.15,,,,
333.2395833,-26.32777778,6.17,,,,
340.5920833,-29.36083333,6.17,,,,
324.7754167,-33.67916667,6.28,,,,
341.8295833,-34.16111111,6.28,,,,
345.1025,-25.62666667,6.29,,,,
341.9841667,-25.91194444,6.3,,,,
339.9333333,-28.32527778,6.31,,,,
342.49625,-32.80527778,6.33,,,,
332.1779167,-33.12555556,6.37,,,,
323.7208333,-29.69611111,6.41,,,,
328.9816667,-30.60638889,6.41,,,,
337.72375,-26.07361111,6.43,,,,
332.5004167,-28.2925,6.44,,,,
331.0995833,-29.91666667,6.47,,,,
339.68625,-28.74777778,6.47,,,,
344.1,-31.56555556,6.48,,,,
325.4420833,-25.10194444,6.49,,,,
322.2658333,-31.23861111,6.5,,,,
330.8216667,-29.90416667,7.1,,,,
