RA,Dec,mag,x,y,x0,y0
22.87083333,15.34583333,3.62,,,,
349.29125,3.282222222,3.69,,,,
359.8279167,6.863333333,4.01,,,,
354.9875,5.626388889,4.13,,,,
26.34833333,9.157777778,4.26,,,,
15.73583333,7.89,4.28,,,,
351.9920833,6.378888889,4.28,,,,
30.51166667,2.763611111,4.33,,,,
0.49,-6.014166667,4.41,,,,
12.17083333,7.585,4.43,,,,
25.35791667,5.4875,4.44,,,,
355.5116667,1.78,4.5,,,,
17.915,30.08972222,4.51,,,,
345.9691667,3.82,4.53,,,,
1.333925,-5.707619444,4.61,,,,
28.38875,3.1875,4.62,,,,
18.43708333,24.58361111,4.65,,,,
17.86333333,21.03472222,4.66,,,,
19.86666667,27.26416667,4.76,,,,
22.54625,6.143888889,4.84,,,,
359.6683333,-3.556111111,4.86,,,,
351.7333333,1.255555556,4.94,,,,
356.5979167,3.486666667,5.04,,,,
350.0858333,5.381388889,5.05,,,,
7.012083333,17.89305556,5.06,,,,
12.24458333,16.94055556,5.07,,,,
0.455833333,-3.0275,5.1,,,,
17.77833333,31.42472222,5.16,,,,
19.45,3.614444444,5.16,,,,
20.28083333,28.73805556,5.23,,,,
30.51166667,2.763611111,5.23,,,,
18.43291667,7.575277778,5.24,,,,
25.62416667,20.26861111,5.24,,,,
16.42041667,21.47333333,5.34,,,,
9.981666667,21.43833333,5.36,,,,
5.149583333,8.190277778,5.37,,,,
8.147916667,20.29444444,5.38,,,,
11.6375,15.47555556,5.38,,,,
21.56375,19.17222222,5.38,,,,
347.1704167,2.127777778,5.4,,,,
14.45916667,28.99222222,5.42,,,,
344.8641667,0.962777778,5.43,,,,
356.9854167,-2.761666667,5.49,,,,
11.75625,11.97388889,5.5,,,,
15.70458333,31.80444444,5.5,,,,
21.67375,19.24027778,5.5,,,,
2.509583333,11.14555556,5.51,,,,
17.0925,5.649722222,5.52,,,,
16.98833333,20.73916667,5.55,,,,
17.455,19.65861111,5.55,,,,
357.99125,2.930277778,5.55,,,,
16.42375,21.46527778,5.56,,,,
24.27458333,12.14166667,5.57,,,,
358.6941667,0.109166667,5.61,,,,
0.62375,8.485555556,5.63,,,,
8.099166667,6.955555556,5.67,,,,
16.2725,14.94611111,5.68,,,,
354.0970833,2.102222222,5.68,,,,
13.64666667,19.18833333,5.74,,,,
12.09583333,5.280555556,5.75,,,,
6.350833333,1.939722222,5.77,,,,
357.3645833,1.076111111,5.77,,,,
3.745,8.820833333,5.79,,,,
17.58083333,25.45777778,5.8,,,,
23.97833333,17.43361111,5.8,,,,
345.17875,3.011666667,5.83,,,,
2.578333333,-5.248611111,5.84,,,,
9.840833333,21.25055556,5.87,,,,
353.5375,-1.2475,5.87,,,,
30.03833333,3.097222222,5.88,,,,
9.197083333,15.23166667,5.89,,,,
23.70458333,18.46055556,5.89,,,,
355.48625,7.250555556,5.89,,,,
27.10833333,3.685555556,5.91,,,,
12.0725,7.3,5.93,,,,
358.2316667,-3.155555556,5.93,,,,
20.85375,20.46888889,5.97,,,,
24.92,16.40583333,5.97,,,,
18.53166667,16.13361111,5.98,,,,
11.84833333,6.740833333,5.99,,,,
16.21916667,5.656388889,6,,,,
19.07833333,33.11472222,6.02,,,,
22.47041667,18.35555556,6.02,,,,
18.67666667,6.995277778,6.03,,,,
7.08375,10.18972222,6.04,,,,
4.571666667,11.20583333,6.05,,,,
7.052916667,16.445,6.06,,,,
17.54791667,15.67416667,6.06,,,,
2.050416667,-2.447777778,6.07,,,,
6.12375,-2.219166667,6.07,,,,
13.99375,27.20944444,6.09,,,,
4.142083333,8.24,6.11,,,,
14.95708333,6.483055556,6.11,,,,
343.7479167,1.064722222,6.11,,,,
16.64,12.95611111,6.12,,,,
11.80666667,19.57888889,6.13,,,,
344.5645833,-2.395277778,6.16,,,,
4.44875,1.688888889,6.17,,,,
25.32666667,25.74583333,6.17,,,,
21.39875,23.51166667,6.18,,,,
16.115,29.65861111,6.19,,,,
18.24791667,30.06416667,6.19,,,,
13.81125,24.55694444,6.2,,,,
22.09541667,7.961388889,6.2,,,,
345.1579167,0.185833333,6.21,,,,
358.7825,7.071111111,6.21,,,,
23.94333333,14.66138889,6.22,,,,
5.60625,13.4825,6.23,,,,
17.00541667,32.01222222,6.25,,,,
351.8116667,1.1225,6.25,,,,
26.2325,20.08305556,6.27,,,,
344.3866667,3.810277778,6.28,,,,
358.27,2.090555556,6.28,,,,
1.265833333,-0.503055556,6.29,,,,
18.43875,7.578333333,6.3,,,,
31.55125,8.2475,6.31,,,,
350.8829167,0.291388889,6.31,,,,
14.47708333,13.69583333,6.32,,,,
0.600833333,8.956944444,6.32,,,,
344.6775,7.339722222,6.33,,,,
16.455,4.908333333,6.35,,,,
12.82625,3.385,6.37,,,,
14.57875,21.40444444,6.37,,,,
344.59875,-1.410277778,6.37,,,,
352.99,-1.085833333,6.38,,,,
9.377083333,3.135277778,6.39,,,,
346.3233333,1.306944444,6.39,,,,
8.730416667,13.37111111,6.4,,,,
8.977916667,13.20666667,6.41,,,,
346.0041667,6.616666667,6.41,,,,
1.93375,-2.548888889,6.43,,,,
18.52083333,28.52972222,6.43,,,,
357.2054167,2.214166667,6.46,,,,
11.97833333,20.92527778,6.54,,,,
26.64708333,17.41305556,6.55,,,,
5.227083333,10.97694444,6.56,,,,
21.72291667,3.535277778,6.58,,,,
19.35041667,31.74472222,6.73,,,,
12.47,27.71083333,7,,,,
12.47166667,27.71027778,7.1,,,,
16.46416667,4.909444444,7.25,,,,
