RA,Dec,mag,x,y,x0,y0
120.89625,-40.00333333,2.25,,,,
109.2858333,-37.0975,2.7,,,,
121.8858333,-24.30416667,2.81,,,,
102.4841667,-50.61472222,2.93,,,,
99.44041667,-43.19611111,3.17,,,,
112.3075,-43.30138889,3.25,,,,
117.32375,-24.85972222,3.34,,,,
116.31375,-37.96861111,3.61,,,,
118.0541667,-40.57583333,3.73,,,,
115.9520833,-28.95472222,3.96,,,,
117.3095833,-46.37333333,4.11,,,,
119.2145833,-22.88,4.2,,,,
118.3258333,-48.10305556,4.24,,,,
122.2566667,-19.245,4.4,,,,
119.56,-49.245,4.41,,,,
123.5120833,-40.34805556,4.44,,,,
113.5133333,-22.29611111,4.45,,,,
122.8395833,-39.61861111,4.45,,,,
124.63875,-36.65944444,4.45,,,,
108.14,-46.75944444,4.49,,,,
118.16125,-38.86305556,4.49,,,,
114.7054167,-26.80166667,4.5,,,,
117.0216667,-25.93722222,4.5,,,,
114.3420833,-34.96861111,4.53,,,,
115.885,-28.41111111,4.59,,,,
119.9666667,-18.39916667,4.61,,,,
114.7075,-26.80361111,4.62,,,,
118.2654167,-49.61305556,4.63,,,,
113.845,-28.36944444,4.64,,,,
112.6770833,-30.96222222,4.65,,,,
109.5766667,-36.73416667,4.66,,,,
114.575,-25.36472222,4.7,,,,
117.0845833,-47.07777778,4.71,,,,
122.8179167,-12.92694444,4.72,,,,
122.8579167,-42.98722222,4.75,,,,
108.6591667,-48.27166667,4.76,,,,
123.3733333,-35.89972222,4.78,,,,
119.4170833,-30.33472222,4.79,,,,
107.2129167,-39.65583333,4.83,,,,
125.3458333,-33.05444444,4.83,,,,
114.8641667,-38.30833333,4.84,,,,
112.4641667,-23.02444444,4.85,,,,
108.3058333,-45.18305556,4.89,,,,
99.65666667,-48.22027778,4.93,,,,
105.97375,-49.58388889,4.93,,,,
115.0966667,-15.26361111,4.94,,,,
104.0666667,-48.72111111,4.95,,,,
113.4495833,-14.52388889,4.97,,,,
102.7183333,-34.36722222,4.99,,,,
123.3333333,-15.78833333,4.99,,,,
118.0654167,-34.70527778,5.01,,,,
109.20625,-36.59277778,5.03,,,,
116.4870833,-14.56388889,5.04,,,,
104.6045833,-34.11166667,5.06,,,,
115.7383333,-45.17333333,5.06,,,,
116.8541667,-38.51111111,5.08,,,,
123.4933333,-36.3225,5.08,,,,
119.3266667,-44.10972222,5.09,,,,
108.385,-44.63972222,5.1,,,,
109.6591667,-36.74277778,5.11,,,,
119.77375,-23.31055556,5.11,,,,
102.4775,-46.61472222,5.14,,,,
107.6979167,-48.93222222,5.14,,,,
115.9245833,-40.93388889,5.17,,,,
117.9429167,-13.89805556,5.17,,,,
119.4658333,-45.57777778,5.17,,,,
117.4216667,-17.22833333,5.18,,,,
106.0116667,-42.33722222,5.2,,,,
125.3375,-36.48444444,5.2,,,,
116.88125,-46.60861111,5.23,,,,
119.8683333,-39.29722222,5.24,,,,
109.64,-39.21027778,5.25,,,,
101.8391667,-37.92972222,5.26,,,,
97.45458333,-50.23916667,5.27,,,,
126.2654167,-24.04611111,5.28,,,,
108.0658333,-40.49888889,5.31,,,,
121.0675,-32.675,5.31,,,,
117.2570833,-24.91222222,5.33,,,,
119.24125,-43.50027778,5.35,,,,
116.3958333,-34.17305556,5.37,,,,
121.825,-20.55472222,5.38,,,,
115.3158333,-38.53361111,5.42,,,,
112.27375,-38.81222222,5.43,,,,
118.2645833,-36.36388889,5.43,,,,
126.46625,-42.15333333,5.47,,,,
116.98625,-12.19305556,5.48,,,,
118.5458333,-35.8775,5.49,,,,
120.6866667,-41.31,5.52,,,,
105.98875,-43.60805556,5.54,,,,
111.9966667,-29.15583333,5.54,,,,
113.4625,-36.33833333,5.54,,,,
122.6658333,-13.79916667,5.54,,,,
126.6745833,-12.53444444,5.54,,,,
124.5725,-35.45166667,5.58,,,,
125.3383333,-20.07916667,5.58,,,,
115.8,-36.05027778,5.6,,,,
117.3975,-33.28888889,5.6,,,,
116.1416667,-24.67388889,5.62,,,,
117.92875,-21.17388889,5.63,,,,
115.7004167,-26.35111111,5.64,,,,
109.0645833,-46.77444444,5.66,,,,
113.33125,-19.4125,5.66,,,,
114.5758333,-48.60111111,5.68,,,,
122.36875,-16.24888889,5.68,,,,
126.2295833,-23.15361111,5.68,,,,
118.07875,-14.84638889,5.69,,,,
114.01625,-14.49277778,5.7,,,,
108.69125,-46.84972222,5.72,,,,
114.1829167,-48.83027778,5.72,,,,
114.9325,-38.13944444,5.73,,,,
114.1708333,-19.70222222,5.74,,,,
125.4775,-17.58638889,5.75,,,,
96.43166667,-48.17722222,5.76,,,,
114.9491667,-38.26083333,5.76,,,,
112.2704167,-31.45638889,5.77,,,,
113.6454167,-27.01194444,5.77,,,,
123.555,-35.49055556,5.78,,,,
106.7795833,-40.89333333,5.79,,,,
109.1325,-38.31888889,5.8,,,,
114.6829167,-36.49694444,5.8,,,,
116.04,-36.06277778,5.8,,,,
120.7670833,-32.46388889,5.82,,,,
113.5775,-23.47361111,5.83,,,,
117.30375,-46.85777778,5.84,,,,
109.5175,-43.98666667,5.85,,,,
113.2904167,-24.71083333,5.85,,,,
113.5795833,-23.47472222,5.87,,,,
116.1425,-37.94305556,5.88,,,,
116.5433333,-37.93388889,5.88,,,,
111.67625,-34.14083333,5.9,,,,
116.8020833,-22.51972222,5.9,,,,
125.7079167,-26.34805556,5.9,,,,
117.5995833,-50.50972222,5.91,,,,
91.1675,-45.07888889,5.93,,,,
115.0566667,-19.66083333,5.93,,,,
117.31125,-35.24333333,5.93,,,,
108.7379167,-41.42583333,5.94,,,,
111.92875,-22.85972222,5.95,,,,
120.4058333,-37.28361111,5.95,,,,
102.92625,-36.23027778,5.96,,,,
108.1070833,-36.54444444,5.96,,,,
124.5995833,-12.63194444,5.98,,,,
126.4816667,-14.92972222,5.98,,,,
126.2383333,-42.76944444,5.98,,,,
119.7575,-45.21611111,5.99,,,,
114.9916667,-37.57944444,6,,,,
126.3295833,-21.04583333,6.01,,,,
118.94375,-43.845,6.02,,,,
120.0620833,-48.98138889,6.02,,,,
116.3254167,-43.75222222,6.03,,,,
117.9179167,-42.88833333,6.04,,,,
112.34125,-14.99916667,6.05,,,,
123.5458333,-32.14083333,6.06,,,,
116.37125,-14.69083333,6.07,,,,
119.24125,-42.40611111,6.09,,,,
106.5095833,-38.38277778,6.11,,,,
113.5533333,-33.46333333,6.11,,,,
123.495,-36.34111111,6.11,,,,
125.695,-13.05472222,6.11,,,,
100.30875,-40.34972222,6.12,,,,
117.52375,-19.52361111,6.12,,,,
120.1204167,-48.87138889,6.12,,,,
121.1729167,-19.72805556,6.13,,,,
125.1141667,-22.92472222,6.13,,,,
106.3833333,-34.77777778,6.14,,,,
