RA,Dec,mag,x,y,x0,y0
130.8979167,-33.18638889,3.68,,,,
130.0258333,-35.30833333,3.97,,,,
132.6329167,-27.71,4.01,,,,
137.0120833,-25.85833333,4.58,,,,
140.80125,-28.83388889,4.69,,,,
140.3733333,-25.96555556,4.72,,,,
129.9270833,-29.56111111,4.89,,,,
133.88125,-27.68194444,4.89,,,,
129.7833333,-22.66194444,5.05,,,,
132.4645833,-32.78055556,5.21,,,,
129.4675,-26.255,5.27,,,,
127.87875,-19.5775,5.42,,,,
137.485,-30.36527778,5.59,,,,
127.6191667,-32.15944444,5.65,,,,
126.9970833,-35.11388889,5.75,,,,
131.21625,-37.14722222,5.76,,,,
132.5091667,-29.46305556,5.87,,,,
128.87,-26.84361111,5.96,,,,
131.4554167,-25.3875,6.1,,,,
141.6866667,-28.7875,6.1,,,,
131.23,-21.16777778,6.11,,,,
129.8420833,-36.60694444,6.13,,,,
137.18125,-26.76777778,6.15,,,,
132.59,-28.61805556,6.17,,,,
128.27,-24.60638889,6.19,,,,
135.2975,-26.66388889,6.2,,,,
134.8154167,-28.80611111,6.25,,,,
126.8183333,-31.67305556,6.33,,,,
129.6679167,-19.73694444,6.33,,,,
128.2441667,-34.63388889,6.36,,,,
131.705,-34.62277778,6.37,,,,
128.2145833,-31.50083333,6.38,,,,
133.9829167,-23.81833333,6.39,,,,
139.9495833,-34.10333333,6.39,,,,
130.7375,-35.94333333,6.42,,,,
133.1608333,-36.54555556,6.42,,,,
128.6320833,-32.59861111,6.43,,,,
132.4370833,-21.04861111,6.47,,,,
129.37375,-33.74583333,6.48,,,,
133.10875,-32.50916667,6.5,,,,
127.1495833,-23.07166667,6.51,,,,
137.5958333,-23.17666667,6.53,,,,
126.9729167,-26.1325,6.62,,,,
127.2220833,-20.95027778,6.67,,,,
127.6233333,-36.72111111,6.69,,,,
127.365,-27.3325,6.7,,,,
135.7866667,-25.50444444,6.74,,,,
140.1841667,-31.76055556,6.82,,,,
