RA,Dec,mag,x,y,x0,y0
63.60625,-62.47388889,3.35,,,,
56.05,-64.80694444,3.85,,,,
64.12041667,-59.30194444,4.44,,,,
60.22416667,-62.15944444,4.51,,,,
59.68625,-61.40027778,4.56,,,,
52.34458333,-62.9375,4.72,,,,
60.32583333,-61.07888889,4.97,,,,
49.55375,-62.50638889,5.24,,,,
65.47208333,-63.38638889,5.24,,,,
63.70291667,-62.19194444,5.45,,,,
49.4425,-62.57527778,5.54,,,,
66.94125,-62.52083333,5.75,,,,
68.39166667,-62.82361111,5.79,,,,
52.715,-66.48972222,5.83,,,,
64.4175,-63.25555556,5.87,,,,
66.27208333,-61.23833333,5.94,,,,
49.49583333,-66.92694444,6.05,,,,
59.67875,-57.1025,6.05,,,,
59.01666667,-63.46361111,6.14,,,,
56.14083333,-54.27388889,6.3,,,,
64.08791667,-60.94861111,6.37,,,,
61.84,-64.2225,6.38,,,,
53.215,-61.01694444,6.41,,,,
53.60291667,-65.76444444,6.75,,,,
