RA,Dec,mag,x,y,x0,y0
14.65166667,-29.3575,4.31,,,,
353.2429167,-37.81833333,4.37,,,,
349.7058333,-32.53194444,4.41,,,,
357.2316667,-28.13027778,4.57,,,,
6.982083333,-33.00722222,4.81,,,,
0.582916667,-29.72027778,5.01,,,,
5.38,-28.98166667,5.18,,,,
2.933333333,-35.13305556,5.25,,,,
25.53583333,-32.32694444,5.25,,,,
26.41166667,-25.0525,5.31,,,,
355.1591667,-32.07305556,5.31,,,,
2.893333333,-27.79972222,5.41,,,,
2.3375,-27.98777778,5.42,,,,
15.61,-31.55194444,5.5,,,,
23.23333333,-36.86527778,5.51,,,,
8.42125,-29.55833333,5.55,,,,
15.32625,-38.91666667,5.59,,,,
347.0875,-28.82333333,5.6,,,,
359.86625,-29.485,5.62,,,,
350.3145833,-26.98666667,5.64,,,,
4.037083333,-31.44638889,5.67,,,,
2.014583333,-33.52944444,5.68,,,,
24.035,-29.9075,5.69,,,,
25.5125,-36.8325,5.72,,,,
21.74208333,-32.54305556,5.79,,,,
22.93041667,-30.28333333,5.82,,,,
20.87916667,-30.94555556,5.84,,,,
347.4358333,-28.08861111,5.87,,,,
11.05041667,-38.42166667,5.9,,,,
18.18916667,-37.85638889,5.92,,,,
22.59541667,-26.20777778,5.93,,,,
3.425416667,-26.02194444,5.94,,,,
24.61416667,-36.52833333,5.94,,,,
6.81125,-25.54722222,5.98,,,,
10.67875,-38.46333333,6.06,,,,
13.98125,-27.77555556,6.1,,,,
358.8191667,-31.92166667,6.1,,,,
23.71125,-31.89222222,6.12,,,,
3.7425,-34.90444444,6.17,,,,
25.36375,-38.13305556,6.17,,,,
356.1204167,-26.24638889,6.17,,,,
359.2845833,-26.62361111,6.26,,,,
15.82333333,-29.52583333,6.29,,,,
3.434166667,-26.28472222,6.31,,,,
352.0029167,-35.54444444,6.32,,,,
358.5891667,-27.04222222,6.35,,,,
349.93,-33.70805556,6.37,,,,
1.084583333,-29.26861111,6.4,,,,
357.4566667,-25.33138889,6.42,,,,
347.6941667,-29.525,6.51,,,,
18.0975,-30.80222222,6.52,,,,
354.2725,-31.87083333,6.52,,,,
5.8025,-31.03611111,6.55,,,,
7.45375,-32.11666667,6.57,,,,
22.18041667,-33.76361111,6.58,,,,
16.61041667,-35.66083333,6.61,,,,
9.99125,-33.96166667,6.69,,,,
24.70833333,-25.02194444,6.7,,,,
358.8191667,-31.88416667,6.83,,,,
