RA,Dec,mag,x,y,x0,y0
247.3516667,-26.43194444,0.96,,,,
263.4020833,-37.10388889,1.63,,,,
264.33,-42.99777778,1.87,,,,
252.5408333,-34.29333333,2.29,,,,
240.0833333,-22.62166667,2.32,,,,
265.6220833,-39.03,2.41,,,,
241.3591667,-19.80555556,2.62,,,,
262.6908333,-37.29583333,2.69,,,,
248.9708333,-28.21611111,2.82,,,,
239.7129167,-26.11416667,2.89,,,,
245.2970833,-25.59277778,2.89,,,,
266.89625,-40.12694444,3.03,,,,
252.9675,-38.0475,3.08,,,,
267.4645833,-37.04333333,3.21,,,,
258.0383333,-43.23916667,3.33,,,,
253.08375,-38.0175,3.57,,,,
253.6458333,-42.36138889,3.62,,,,
239.22125,-29.21416667,3.88,,,,
241.7016667,-20.66916667,3.96,,,,
242.99875,-19.46055556,4.01,,,,
249.09375,-35.25555556,4.16,,,,
247.8454167,-34.70444444,4.23,,,,
264.1366667,-38.63527778,4.29,,,,
241.85125,-20.86861111,4.32,,,,
245.1591667,-24.16944444,4.55,,,,
238.4029167,-25.32722222,4.59,,,,
243.0758333,-27.92638889,4.59,,,,
237.7445833,-25.75138889,4.64,,,,
253.49875,-42.36222222,4.73,,,,
241.0920833,-11.37305556,4.77,,,,
244.5745833,-28.61388889,4.78,,,,
247.5516667,-25.115,4.79,,,,
267.5466667,-40.09055556,4.81,,,,
267.29375,-31.70333333,4.83,,,,
269.1975,-44.34222222,4.86,,,,
256.2058333,-34.12277778,4.87,,,,
269.44875,-41.71611111,4.88,,,,
241.3604167,-19.80194444,4.92,,,,
243,-10.06416667,4.94,,,,
240.8358333,-25.86527778,5,,,,
255.4695833,-32.14361111,5.03,,,,
241.0920833,-11.37305556,5.07,,,,
257.67625,-44.5575,5.08,,,,
261.0541667,-44.1625,5.12,,,,
242.7583333,-29.41638889,5.13,,,,
243.4620833,-11.8375,5.22,,,,
252.8904167,-41.23055556,5.22,,,,
247.92375,-41.81694444,5.33,,,,
242.0316667,-26.32666667,5.38,,,,
238.4741667,-24.53305556,5.39,,,,
246.0054167,-39.19305556,5.4,,,,
238.4825,-23.97805556,5.42,,,,
246.1320833,-37.56583333,5.42,,,,
239.645,-24.83138889,5.43,,,,
243.0304167,-8.5475,5.43,,,,
253.5075,-41.80638889,5.45,,,,
249.09375,-42.85888889,5.47,,,,
251.6991667,-39.37722222,5.48,,,,
254.29625,-33.25944444,5.48,,,,
244.88625,-30.90666667,5.49,,,,
243.9054167,-8.369444444,5.5,,,,
258.8304167,-33.54833333,5.53,,,,
242.4691667,-33.54583333,5.54,,,,
265.7125,-36.94583333,5.54,,,,
259.2654167,-32.66277778,5.55,,,,
268.3470833,-34.89527778,5.6,,,,
238.8754167,-26.26583333,5.62,,,,
243.06625,-28.4175,5.67,,,,
258.0675,-39.50694444,5.67,,,,
263.6770833,-32.58166667,5.7,,,,
251.1775,-40.83972222,5.71,,,,
259.7,-44.12972222,5.76,,,,
253.7433333,-41.15111111,5.77,,,,
241.9016667,-12.74555556,5.78,,,,
247.06125,-37.17944444,5.79,,,,
249.6091667,-43.39861111,5.83,,,,
246.1654167,-29.70472222,5.84,,,,
263.2808333,-41.17361111,5.84,,,,
268.0820833,-34.41666667,5.84,,,,
239.4183333,-20.98305556,5.85,,,,
242.82375,-41.11972222,5.86,,,,
238.6645833,-25.24361111,5.87,,,,
250.4395833,-33.14638889,5.87,,,,
266.175,-42.72888889,5.87,,,,
242.1820833,-23.68555556,5.88,,,,
253.6120833,-42.47888889,5.88,,,,
268.0566667,-34.79916667,5.9,,,,
249.7716667,-37.2175,5.91,,,,
255.9616667,-38.15222222,5.91,,,,
259.7383333,-34.98972222,5.91,,,,
241.52625,-23.60638889,5.92,,,,
243.5929167,-33.01138889,5.92,,,,
260.72875,-37.22055556,5.93,,,,
244.7516667,-14.8725,5.94,,,,
253.4270833,-43.05083333,5.96,,,,
258.8995833,-38.59388889,5.96,,,,
267.8866667,-40.7725,5.96,,,,
268.47875,-34.7525,5.96,,,,
268.6133333,-34.46638889,5.96,,,,
255.15375,-35.93416667,5.97,,,,
257.1979167,-30.40361111,5.97,,,,
256.5845833,-37.2275,5.98,,,,
258.2445833,-32.43861111,6.01,,,,
251.2508333,-28.50972222,6.02,,,,
262.23375,-36.77833333,6.02,,,,
240.6641667,-29.13583333,6.03,,,,
268.24125,-35.62416667,6.03,,,,
243.7233333,-25.47694444,6.05,,,,
250.9483333,-38.15666667,6.05,,,,
268.205,-34.11416667,6.06,,,,
268.7829167,-36.47583333,6.06,,,,
243.9645833,-14.84916667,6.09,,,,
254.7183333,-37.62111111,6.09,,,,
247.845,-26.53777778,6.1,,,,
264.5354167,-42.88055556,6.1,,,,
252.7491667,-37.51444444,6.11,,,,
245.1358333,-39.43083333,6.12,,,,
250.9745833,-41.11305556,6.12,,,,
259.0895833,-35.74944444,6.12,,,,
256.6183333,-35.45111111,6.13,,,,
238.625,-27.33861111,6.14,,,,
254.15,-40.82361111,6.15,,,,
261.26125,-34.69638889,6.16,,,,
263.1020833,-34.27972222,6.17,,,,
268.3316667,-34.73055556,6.17,,,,
242.3820833,-32.64972222,6.19,,,,
256.4525,-44.105,6.19,,,,
250.9395833,-41.11888889,6.2,,,,
268.2195833,-41.99666667,6.2,,,,
240.9779167,-24.72638889,6.21,,,,
258.9645833,-30.21055556,6.21,,,,
264.3616667,-38.06555556,6.26,,,,
256.2720833,-45.50166667,6.28,,,,
244.7820833,-20.21777778,6.29,,,,
269.4908333,-39.13694444,6.29,,,,
242.9941667,-19.44972222,6.3,,,,
258.06875,-38.82222222,6.3,,,,
241.7641667,-14.07083333,6.32,,,,
243.6629167,-18.53527778,6.32,,,,
253.495,-41.99472222,6.32,,,,
241.96625,-24.46194444,6.33,,,,
253.65,-30.58722222,6.35,,,,
259.585,-32.55333333,6.36,,,,
253.9908333,-33.50722222,6.37,,,,
268.4395833,-34.78583333,6.38,,,,
262.3570833,-38.51666667,6.39,,,,
265.77875,-33.05111111,6.4,,,,
243.4404167,-24.42194444,6.41,,,,
243.62,-21.1075,6.41,,,,
260.6641667,-37.805,6.41,,,,
268.4920833,-34.83166667,6.42,,,,
266.7804167,-38.11166667,6.43,,,,
269.2325,-40.30555556,6.43,,,,
262.9475,-33.70277778,6.44,,,,
253.5491667,-41.85027778,6.45,,,,
268.2329167,-35.01861111,6.45,,,,
248.7829167,-45.24472222,6.46,,,,
250.91125,-32.10611111,6.46,,,,
242.48,-18.34083333,6.47,,,,
245.98625,-33.19944444,6.47,,,,
260.6583333,-35.91,6.47,,,,
263.9291667,-37.44,6.48,,,,
253.0795833,-41.85444444,6.49,,,,
251.0720833,-27.45611111,6.58,,,,
253.5816667,-41.82,6.59,,,,
258.6154167,-39.76694444,6.6,,,,
244.245,-21.30388889,6.61,,,,
246.165,-29.70333333,6.63,,,,
242.1433333,-39.09305556,6.65,,,,
255.1345833,-45.45166667,6.65,,,,
259.8520833,-44.22305556,6.65,,,,
267.8020833,-30.55722222,6.66,,,,
251.71375,-25.52861111,6.71,,,,
242.1425,-39.10527778,7.05,,,,
