RA,Dec,mag,x,y,x0,y0
278.8016667,-8.244166667,3.85,,,,
281.79375,-4.747777778,4.22,,,,
275.9145833,-8.934166667,4.68,,,,
277.2995833,-14.56583333,4.7,,,,
280.5683333,-9.0525,4.72,,,,
284.2654167,-5.846111111,4.83,,,,
280.8804167,-8.275277778,4.9,,,,
283.6795833,-15.60305556,5.1,,,,
278.76,-10.97722222,5.14,,,,
281.8708333,-5.705,5.2,,,,
278.1804167,-14.86555556,5.5,,,,
281.6804167,-10.125,5.71,,,,
277.8570833,-10.79583333,5.72,,,,
275.8008333,-12.01472222,5.73,,,,
278.4125,-14.85361111,5.76,,,,
282.74375,-9.774166667,5.83,,,,
280.0020833,-7.790555556,5.84,,,,
277.445,-14.58166667,5.96,,,,
282.4208333,-5.912777778,5.99,,,,
280.6504167,-7.073333333,6.15,,,,
277.5595833,-5.724166667,6.28,,,,
276.1754167,-7.075277778,6.31,,,,
280.9641667,-6.818611111,6.31,,,,
275.7591667,-10.21861111,6.33,,,,
283.2579167,-9.576111111,6.34,,,,
278.3454167,-5.911388889,6.36,,,,
278.0866667,-14.64416667,6.37,,,,
280.4270833,-14.56416667,6.42,,,,
279.5191667,-14.00472222,6.47,,,,
282.5833333,-7.9075,6.8,,,,
