RA,Dec,mag,x,y,x0,y0
236.0670833,6.425555556,2.65,,,,
275.3275,-2.898888889,3.26,,,,
237.405,-3.430277778,3.53,,,,
264.3966667,-15.39861111,3.54,,,,
236.5470833,15.42194444,3.67,,,,
237.7041667,4.477777778,3.71,,,,
233.7004167,10.5375,3.8,,,,
233.7004167,10.53916667,3.8,,,,
239.1133333,15.66166667,3.85,,,,
237.185,18.14166667,4.09,,,,
265.35375,-12.87527778,4.26,,,,
260.2070833,-12.84694444,4.33,,,,
236.6108333,7.353055556,4.43,,,,
235.3879167,19.67027778,4.52,,,,
270.1208333,-3.690277778,4.62,,,,
284.055,4.203611111,4.62,,,,
237.81625,20.97777778,4.76,,,,
245.5183333,1.029166667,4.82,,,,
240.57375,22.80444444,4.83,,,,
284.0608333,4.201944444,4.98,,,,
229.8283333,1.765277778,5.06,,,,
237.815,-3.090555556,5.11,,,,
231.4475,15.42805556,5.17,,,,
232.1591667,1.842222222,5.17,,,,
237.67375,15.13361111,5.2,,,,
276.8020833,0.196111111,5.21,,,,
237.5729167,2.196388889,5.23,,,,
234.1233333,10.01,5.26,,,,
228.7975,4.939444444,5.33,,,,
235.4475,12.8475,5.33,,,,
230.2583333,0.715277778,5.35,,,,
242.4604167,-3.466944444,5.37,,,,
275.0366667,-15.83166667,5.39,,,,
277.4208333,-1.985277778,5.39,,,,
236.5233333,-1.804444444,5.4,,,,
238.6441667,20.31083333,5.44,,,,
233.24125,-1.186388889,5.51,,,,
239.3108333,14.41444444,5.54,,,,
263.6933333,-11.24194444,5.55,,,,
284.3191667,2.535277778,5.57,,,,
236.3479167,5.446944444,5.58,,,,
228.9545833,0.372222222,5.63,,,,
241.90625,9.891666667,5.63,,,,
229.6020833,20.57277778,5.7,,,,
236.8220833,14.11527778,5.71,,,,
242.1166667,8.534166667,5.73,,,,
276.995,6.194166667,5.73,,,,
264.5395833,-10.92638889,5.75,,,,
279.4,-0.309444444,5.75,,,,
271.5633333,-4.751388889,5.77,,,,
235.4779167,18.46388889,5.81,,,,
240.2129167,4.4275,5.83,,,,
281.3683333,5.499722222,5.83,,,,
271.5308333,-8.323888889,5.85,,,,
236.0075,2.515,5.88,,,,
228.0179167,18.97583333,5.89,,,,
229.6091667,-0.461388889,5.89,,,,
242.2454167,3.454444444,5.91,,,,
234.1220833,16.11888889,5.93,,,,
264.4008333,-15.57111111,5.94,,,,
266.9033333,-14.72583333,5.94,,,,
277.9875,-1.003055556,5.94,,,,
242.2966667,6.378888889,5.97,,,,
237.0554167,13.78861111,6,,,,
274.22125,-3.007222222,6,,,,
235.2466667,16.02472222,6.01,,,,
231.9120833,25.10166667,6.02,,,,
233.9725,11.26555556,6.07,,,,
240.9404167,4.986666667,6.08,,,,
238.3954167,16.075,6.09,,,,
238.3004167,13.19666667,6.1,,,,
230.9320833,-1.0225,6.12,,,,
233.8883333,17.65555556,6.12,,,,
275.36875,5.435833333,6.13,,,,
236.1754167,17.26416667,6.14,,,,
241.8425,21.8225,6.14,,,,
276.2375,-1.579444444,6.15,,,,
284.1066667,2.471111111,6.15,,,,
268.265,-10.89972222,6.18,,,,
261.75875,-12.5125,6.21,,,,
282.01125,4.241388889,6.21,,,,
233.0404167,16.05611111,6.22,,,,
235.0433333,12.05305556,6.25,,,,
238.9158333,18.62055556,6.26,,,,
231.4720833,19.48083333,6.27,,,,
230.5966667,12.5675,6.28,,,,
238.6679167,8.580277778,6.29,,,,
241.4075,8.096111111,6.29,,,,
228.3829167,22.98333333,6.3,,,,
274.3508333,-9.758611111,6.31,,,,
236.4154167,0.891388889,6.33,,,,
271.5308333,-0.446666667,6.34,,,,
230.19625,-2.413333333,6.35,,,,
238.2341667,17.40361111,6.36,,,,
273.9916667,-3.6175,6.36,,,,
276.0145833,-3.583333333,6.38,,,,
279.90375,5.264166667,6.38,,,,
230.27875,24.95777778,6.39,,,,
265.9525,-13.50861111,6.39,,,,
272.4308333,-13.93444444,6.39,,,,
278.0291667,3.659722222,6.43,,,,
233.47,17.13777778,6.45,,,,
260.2195833,-10.69611111,6.46,,,,
235.7941667,13.66777778,6.48,,,,
279.59875,-3.193611111,6.49,,,,
234.1404167,-0.561666667,6.51,,,,
233.7691667,1.668888889,6.56,,,,
232.7308333,8.579166667,6.57,,,,
273.2916667,-4.011666667,6.59,,,,
279.5795833,-1.113333333,6.66,,,,
228.18125,19.28583333,6.68,,,,
276.2866667,5.084722222,6.74,,,,
