RA,Dec,mag,x,y,x0,y0
151.9845833,-0.371666667,4.49,,,,
148.1266667,-8.105,5.05,,,,
157.5729167,-0.636944444,5.09,,,,
157.3695833,-2.739166667,5.21,,,,
154.4075,-8.068888889,5.24,,,,
156.4345833,-7.059722222,5.57,,,,
146.5983333,1.785555556,5.65,,,,
152.7325,-8.418333333,5.65,,,,
153.20125,4.614722222,5.77,,,,
160.8370833,4.747777778,5.79,,,,
162.5754167,-8.897777778,5.79,,,,
162.43125,-9.852777778,5.86,,,,
152.53125,-8.408333333,5.91,,,,
162.1691667,-1.958888889,5.93,,,,
148.42875,5.958333333,5.95,,,,
162.7725,-3.0925,5.95,,,,
155.8604167,-4.074166667,5.97,,,,
147.8083333,-4.243333333,6.01,,,,
148.0508333,2.454166667,6.02,,,,
157.1833333,-3.7425,6.05,,,,
154.0379167,-11.20333333,6.08,,,,
150.9208333,-9.573888889,6.12,,,,
157.7445833,-7.6375,6.2,,,,
151.6975,5.611388889,6.21,,,,
147.6254167,4.343611111,6.24,,,,
152.8241667,-7.316666667,6.25,,,,
160.3508333,-1.741666667,6.26,,,,
161.2891667,2.488055556,6.28,,,,
154.9975,-9.058888889,6.32,,,,
156.0545833,2.368055556,6.32,,,,
148.05,0.075555556,6.35,,,,
154.8841667,-5.105833333,6.37,,,,
147.84,-6.181666667,6.42,,,,
151.035,3.201111111,6.45,,,,
152.1904167,-10.88472222,6.53,,,,
155.8108333,5.694166667,6.54,,,,
159.0725,-10.58333333,6.57,,,,
162.3220833,-4.024166667,6.61,,,,
155.2583333,2.289722222,6.66,,,,
149.9295833,3.384722222,6.7,,,,
