RA,Dec,mag,x,y,x0,y0
299.6891667,19.49222222,3.47,,,,
296.8470833,18.53416667,3.82,,,,
295.0241667,18.01388889,4.37,,,,
295.2620833,17.47611111,4.37,,,,
297.2445833,19.14222222,5,,,,
301.2895833,19.99111111,5.1,,,,
299.0054167,16.63472222,5.36,,,,
300.01375,17.51666667,5.37,,,,
299.4391667,16.78916667,5.53,,,,
288.8225,21.23222222,5.64,,,,
294.3225,16.46277778,5.66,,,,
301.0258333,17.07,5.8,,,,
305.0891667,17.79305556,5.8,,,,
300.8183333,18.50055556,5.96,,,,
288.7608333,20.20333333,6,,,,
286.98875,16.85333333,6.07,,,,
285.7191667,19.66111111,6.09,,,,
304.0820833,21.59861111,6.13,,,,
302.7645833,21.13472222,6.22,,,,
298.0908333,18.67194444,6.23,,,,
291.0920833,16.93777778,6.25,,,,
294.8558333,16.57138889,6.38,,,,
285.2729167,19.30972222,6.39,,,,
302.0270833,16.66416667,6.42,,,,
287.1675,16.85138889,6.48,,,,
299.2508333,20.99805556,6.48,,,,
302.4858333,20.91527778,6.48,,,,
284.6879167,19.79416667,6.5,,,,
289.7020833,19.61055556,6.58,,,,
285.3441667,20.83361111,6.69,,,,
288.1433333,16.84638889,6.73,,,,
