RA,Dec,mag,x,y,x0,y0
276.0429167,-34.38472222,1.85,,,,
283.81625,-26.29666667,2.02,,,,
285.6529167,-29.88027778,2.6,,,,
275.24875,-29.82805556,2.7,,,,
276.9925,-25.42166667,2.81,,,,
287.4408333,-21.02361111,2.89,,,,
271.4520833,-30.42416667,2.99,,,,
274.4066667,-36.76166667,3.11,,,,
281.4141667,-26.99083333,3.17,,,,
286.735,-27.67055556,3.32,,,,
284.4325,-21.10666667,3.51,,,,
286.1708333,-21.74166667,3.77,,,,
273.4408333,-21.05888889,3.86,,,,
290.4183333,-17.84722222,3.93,,,,
290.9716667,-40.61611111,3.97,,,,
290.6595833,-44.45888889,4.01,,,,
298.8154167,-41.86833333,4.13,,,,
290.805,-44.79972222,4.29,,,,
299.9341667,-35.27638889,4.37,,,,
299.2366667,-27.17,4.52,,,,
266.89,-27.83083333,4.54,,,,
272.0208333,-28.45722222,4.57,,,,
300.6645833,-27.70972222,4.58,,,,
294.1766667,-24.88361111,4.6,,,,
290.4316667,-15.955,4.61,,,,
274.5133333,-27.0425,4.65,,,,
271.2554167,-29.58,4.69,,,,
298.96,-26.29944444,4.7,,,,
269.9483333,-23.81611111,4.76,,,,
300.8895833,-37.94083333,4.77,,,,
276.3375,-20.54166667,4.81,,,,
283.5425,-22.745,4.83,,,,
299.7383333,-26.19555556,4.83,,,,
288.885,-25.25666667,4.85,,,,
296.5904167,-19.76111111,4.86,,,,
281.0808333,-35.64194444,4.87,,,,
289.40875,-18.95305556,4.96,,,,
272.9308333,-23.70111111,4.98,,,,
283.7795833,-22.67138889,4.99,,,,
301.0816667,-32.05638889,4.99,,,,
299.4875,-15.49138889,5.02,,,,
291.31875,-24.50861111,5.03,,,,
295.6295833,-16.12388889,5.06,,,,
284.3354167,-20.65638889,5.08,,,,
277.8595833,-18.40277778,5.14,,,,
269.7716667,-30.25305556,5.16,,,,
282.4170833,-20.32472222,5.24,,,,
278.4908333,-33.01666667,5.28,,,,
299.96375,-34.69777778,5.3,,,,
302.7995833,-36.10111111,5.32,,,,
297.9608333,-39.87444444,5.33,,,,
270.7129167,-24.28222222,5.34,,,,
275.72125,-36.66944444,5.34,,,,
277.77,-32.98916667,5.34,,,,
281.5858333,-22.39222222,5.37,,,,
273.80375,-20.72833333,5.38,,,,
291.37375,-23.96222222,5.43,,,,
273.56625,-21.71305556,5.44,,,,
294.3933333,-14.30166667,5.47,,,,
278.4729167,-24.0325,5.49,,,,
295.8895833,-15.47,5.49,,,,
286.1045833,-31.04694444,5.5,,,,
288.3145833,-12.2825,5.51,,,,
271.9516667,-17.15416667,5.52,,,,
292.4675,-26.98555556,5.52,,,,
296.505,-31.90861111,5.52,,,,
272.52375,-30.72861111,5.53,,,,
284.8491667,-12.84055556,5.53,,,,
287.0695833,-19.29,5.54,,,,
275.8704167,-36.23833333,5.55,,,,
290.15875,-22.4025,5.58,,,,
289.9166667,-35.42138889,5.59,,,,
291.58,-21.77666667,5.59,,,,
305.6145833,-42.04972222,5.59,,,,
276.25625,-30.75666667,5.6,,,,
294.26375,-18.23111111,5.64,,,,
305.9716667,-42.42277778,5.64,,,,
285.6154167,-24.84694444,5.65,,,,
294.0070833,-24.71916667,5.65,,,,
277.5495833,-18.72888889,5.66,,,,
300.0845833,-33.70388889,5.66,,,,
291.7354167,-29.74333333,5.67,,,,
283.5004167,-21.35972222,5.69,,,,
291.34,-13.89694444,5.69,,,,
292.3495833,-43.44583333,5.71,,,,
300.4941667,-13.63694444,5.71,,,,
291.54625,-15.05305556,5.72,,,,
269.7316667,-36.85833333,5.74,,,,
274.2983333,-17.37388889,5.75,,,,
275.34625,-18.86,5.75,,,,
270.4766667,-22.78055556,5.77,,,,
283.8791667,-16.37666667,5.79,,,,
269.1745833,-28.06527778,5.8,,,,
288.3070833,-25.90666667,5.8,,,,
279.6279167,-23.505,5.81,,,,
300.20125,-45.11305556,5.81,,,,
281.2066667,-25.01111111,5.83,,,,
306.3616667,-28.66333333,5.85,,,,
279.7225,-21.05194444,5.86,,,,
290.4620833,-18.30833333,5.87,,,,
269.0791667,-15.8125,5.89,,,,
293.5354167,-40.03472222,5.89,,,,
276.95625,-29.81638889,5.92,,,,
298.05,-19.045,5.92,,,,
284.0025,-23.17361111,5.93,,,,
291.2670833,-29.30916667,5.93,,,,
279.4766667,-21.39777778,5.94,,,,
271.59875,-36.01972222,5.95,,,,
273.80375,-20.38805556,5.95,,,,
300.06625,-37.70222222,5.95,,,,
270.9683333,-24.36055556,5.97,,,,
286.4216667,-15.66027778,5.97,,,,
295.0295833,-23.42861111,5.97,,,,
271.21,-35.90138889,6,,,,
269.6629167,-28.75916667,6.01,,,,
300.3495833,-22.73722222,6.01,,,,
286.7179167,-16.22888889,6.03,,,,
286.87875,-28.63694444,6.04,,,,
291.1254167,-27.86555556,6.04,,,,
285.7658333,-19.24527778,6.05,,,,
297.2983333,-28.78888889,6.05,,,,
289.7504167,-15.53638889,6.06,,,,
273.8783333,-18.66138889,6.07,,,,
306.4495833,-40.79638889,6.09,,,,
294.10875,-18.85277778,6.11,,,,
297.0125,-13.70333333,6.11,,,,
284.58875,-31.03611111,6.12,,,,
283.1541667,-29.37944444,6.13,,,,
287.4504167,-19.80361111,6.13,,,,
292.725,-21.31222222,6.13,,,,
284.6025,-22.52944444,6.14,,,,
300.1104167,-43.04333333,6.14,,,,
276.3404167,-35.99166667,6.15,,,,
272.73,-33.79972222,6.16,,,,
274.4004167,-34.10722222,6.16,,,,
275.5008333,-28.43,6.16,,,,
295.9066667,-37.53888889,6.16,,,,
291.0891667,-43.72305556,6.17,,,,
266.94,-22.47805556,6.18,,,,
298.57375,-23.94111111,6.18,,,,
274.35,-28.6525,6.19,,,,
268.725,-24.88722222,6.2,,,,
276.9854167,-17.8,6.2,,,,
295.1808333,-16.29333333,6.2,,,,
270.0004167,-20.33916667,6.21,,,,
303.0995833,-42.78055556,6.22,,,,
280.465,-23.83333333,6.23,,,,
285.4075,-22.69555556,6.24,,,,
275.3808333,-24.915,6.25,,,,
288.8883333,-24.17916667,6.25,,,,
289.1366667,-33.52166667,6.25,,,,
306.7208333,-37.40305556,6.25,,,,
290.4045833,-19.23416667,6.26,,,,
277.0258333,-26.75722222,6.27,,,,
293.89,-12.25277778,6.27,,,,
270.34625,-17.15694444,6.28,,,,
271.7975,-21.44388889,6.28,,,,
299.735,-30.53805556,6.28,,,,
283.11875,-26.65027778,6.29,,,,
286.7854167,-18.73777778,6.29,,,,
300.36,-40.81416667,6.29,,,,
270.45125,-36.37777778,6.3,,,,
276.4775,-33.94527778,6.3,,,,
287.0608333,-24.65694444,6.3,,,,
287.82875,-29.50222222,6.3,,,,
303.9608333,-30.00527778,6.3,,,,
305.1170833,-29.19722222,6.3,,,,
276.9325,-26.63472222,6.31,,,,
281.0320833,-36.71861111,6.32,,,,
285.3895833,-15.2825,6.32,,,,
290.54,-42.01611111,6.34,,,,
294.9558333,-23.42777778,6.34,,,,
267.1158333,-26.975,6.35,,,,
280.73,-19.28388889,6.35,,,,
272.8116667,-19.84222222,6.36,,,,
281.3279167,-21.00138889,6.36,,,,
285.1033333,-24.94222222,6.36,,,,
278.99875,-29.69916667,6.37,,,,
284.8616667,-18.56694444,6.37,,,,
285.7791667,-19.10333333,6.37,,,,
304.09875,-36.45444444,6.39,,,,
274.34875,-28.28916667,6.4,,,,
288.1166667,-21.65805556,6.41,,,,
281.505,-19.60638889,6.42,,,,
272.4995833,-32.71972222,6.43,,,,
300.9345833,-22.59555556,6.45,,,,
298.77125,-33.04638889,6.46,,,,
305.21625,-35.67361111,6.46,,,,
282.18875,-18.60138889,6.47,,,,
