RA,Dec,mag,x,y,x0,y0
68.98,16.50916667,0.85,,,,
81.57291667,28.6075,1.65,,,,
56.87125,24.105,2.87,,,,
84.41125,21.1425,3,,,,
67.16541667,15.87083333,3.4,,,,
60.17,12.49027778,3.47,,,,
67.15416667,19.18027778,3.53,,,,
51.20333333,9.028888889,3.6,,,,
57.29041667,24.05333333,3.63,,,,
64.94833333,15.6275,3.65,,,,
56.21875,24.11333333,3.7,,,,
51.7925,9.732777778,3.74,,,,
65.73375,17.5425,3.76,,,,
67.14375,15.96222222,3.84,,,,
56.45666667,24.36777778,3.87,,,,
60.78916667,5.989166667,3.91,,,,
52.71833333,12.93666667,4.11,,,,
56.58166667,23.94833333,4.18,,,,
66.34208333,22.29388889,4.22,,,,
68.91375,10.16083333,4.25,,,,
69.53958333,12.51083333,4.27,,,,
54.21833333,0.401666667,4.28,,,,
66.57708333,22.81361111,4.28,,,,
70.56125,22.95694444,4.28,,,,
63.88375,8.892222222,4.29,,,,
66.3725,17.92805556,4.29,,,,
56.30208333,24.46722222,4.3,,,,
61.17375,22.08194444,4.36,,,,
83.05333333,18.59444444,4.38,,,,
66.58666667,15.61833333,4.49,,,,
88.33166667,27.61222222,4.58,,,,
75.77375,21.59,4.64,,,,
68.46208333,14.84444444,4.65,,,,
66.65166667,14.71361111,4.69,,,,
69.81875,15.91805556,4.69,,,,
67.64041667,16.19388889,4.78,,,,
66.02416667,17.44388889,4.8,,,,
89.49875,25.95388889,4.82,,,,
63.485,9.263611111,4.84,,,,
85.32375,16.53388889,4.86,,,,
87.25416667,24.5675,4.86,,,,
81.90875,21.93694444,4.88,,,,
87.38708333,12.65111111,4.91,,,,
64.315,20.57861111,4.94,,,,
79.81916667,22.09638889,4.94,,,,
65.08875,27.35083333,4.95,,,,
67.11,16.35972222,4.97,,,,
81.10583333,17.38333333,4.99,,,,
76.8625,18.645,5,,,,
67.20916667,13.0475,5.03,,,,
57.06791667,11.14333333,5.07,,,,
69.78833333,15.79972222,5.07,,,,
57.29666667,24.13666667,5.09,,,,
72.84375,18.83972222,5.1,,,,
65.96625,9.460833333,5.12,,,,
52.60208333,11.33638889,5.14,,,,
84.93416667,25.89694444,5.18,,,,
