RA,Dec,mag,x,y,x0,y0
276.7433333,-45.96833333,3.51,,,,
277.2079167,-49.07083333,4.13,,,,
272.8075,-45.95444444,4.53,,,,
284.6154167,-52.93861111,4.87,,,,
293.8041667,-48.09916667,4.9,,,,
301.8466667,-52.88083333,4.94,,,,
277.9391667,-45.915,4.96,,,,
290.7129167,-54.42361111,5.05,,,,
278.0083333,-45.75722222,5.07,,,,
286.5829167,-52.34083333,5.16,,,,
283.165,-52.1075,5.17,,,,
274.28125,-56.02333333,5.33,,,,
297.005,-56.3625,5.35,,,,
289.0904167,-45.46638889,5.4,,,,
276.7245833,-48.11694444,5.46,,,,
283.1129167,-46.59527778,5.54,,,,
293.34,-45.27194444,5.61,,,,
303.5791667,-52.44555556,5.65,,,,
291.9504167,-54.32527778,5.69,,,,
277.4825,-47.22027778,5.7,,,,
298.1566667,-54.97111111,5.74,,,,
293.2241667,-53.18583333,5.75,,,,
282.3641667,-45.81027778,5.81,,,,
279.8095833,-47.90972222,5.86,,,,
285.9891667,-51.01861111,5.93,,,,
297.5575,-47.55722222,5.94,,,,
286.7316667,-48.29916667,5.97,,,,
274.25375,-51.06833333,6.06,,,,
272.76875,-47.51305556,6.07,,,,
288.1920833,-50.48638889,6.13,,,,
292.4691667,-55.44138889,6.13,,,,
304.8245833,-47.58027778,6.13,,,,
300.1054167,-49.35111111,6.17,,,,
283.2604167,-48.36,6.19,,,,
283.2483333,-46.58583333,6.19,,,,
278.63,-52.89194444,6.22,,,,
294.925,-45.27805556,6.25,,,,
297.2295833,-52.88805556,6.25,,,,
295.07625,-54.4175,6.26,,,,
301.89625,-55.01638889,6.26,,,,
305.1345833,-55.05083333,6.27,,,,
305.4208333,-49.99944444,6.27,,,,
292.64375,-55.11,6.3,,,,
283.3004167,-51.93111111,6.31,,,,
304.7333333,-47.71083333,6.31,,,,
289.5391667,-53.38666667,6.38,,,,
280.3775,-48.095,6.49,,,,
287.2170833,-55.72027778,6.49,,,,
298.1625,-54.97666667,6.5,,,,
281.74625,-50.09444444,6.54,,,,
283.6345833,-49.87861111,6.6,,,,
