RA,Dec,mag,x,y,x0,y0
252.16625,-69.02777778,1.92,,,,
238.7854167,-63.43055556,2.85,,,,
229.7275,-68.67944444,2.89,,,,
243.8595833,-63.68555556,3.85,,,,
234.18,-66.31694444,4.11,,,,
247.1170833,-70.08444444,4.91,,,,
238.8733333,-68.60305556,5.09,,,,
251.6666667,-67.10972222,5.13,,,,
247.7058333,-61.63361111,5.2,,,,
246.98875,-64.05805556,5.27,,,,
248.9366667,-65.49527778,5.52,,,,
231.8879167,-64.53138889,5.71,,,,
239.7420833,-65.03777778,5.75,,,,
244.2729167,-67.94138889,5.75,,,,
227.3745833,-67.08416667,5.76,,,,
239.025,-60.48277778,5.76,,,,
254.8908333,-69.26833333,5.79,,,,
228.5795833,-70.07944444,5.81,,,,
231.56125,-68.30916667,5.89,,,,
250.3470833,-68.29611111,5.91,,,,
250.8420833,-67.4325,6.03,,,,
252.9745833,-65.37555556,6.13,,,,
238.7191667,-60.74333333,6.15,,,,
246.3416667,-63.12472222,6.15,,,,
226.9866667,-65.27555556,6.17,,,,
236.9733333,-65.4425,6.18,,,,
238.345,-62.60694444,6.19,,,,
240.7183333,-62.54166667,6.25,,,,
230.1695833,-67.48138889,6.28,,,,
253.0725,-67.68194444,6.32,,,,
236.97375,-65.4425,6.39,,,,
240.2945833,-63.77666667,6.41,,,,
235.0479167,-70.22777778,6.44,,,,
234.0725,-65.61333333,6.51,,,,
238.23625,-65.1525,6.54,,,,
