RA,Dec,mag,x,y,x0,y0
32.38583333,34.98722222,3,,,,
28.27041667,29.57888889,3.41,,,,
34.32875,33.84722222,4.01,,,,
34.26333333,34.22416667,4.87,,,,
33.09291667,30.30305556,4.94,,,,
34.7375,28.6425,5.03,,,,
38.02583333,36.14722222,5.15,,,,
33.98416667,33.35888889,5.28,,,,
37.04166667,29.66944444,5.29,,,,
39.26041667,34.26388889,5.3,,,,
38.945,34.6875,5.35,,,,
30.74166667,33.28388889,5.5,,,,
36.86541667,31.80138889,5.54,,,,
25.51458333,35.24555556,5.64,,,,
27.17333333,32.69027778,5.79,,,,
29.4325,27.80444444,5.82,,,,
38.21875,34.5425,5.83,,,,
37.20208333,29.93194444,5.89,,,,
25.41333333,30.04722222,5.99,,,,
39.17875,31.6075,6.1,,,,
32.85416667,31.52638889,6.23,,,,
37.56916667,33.83388889,6.25,,,,
39.27666667,32.89194444,6.25,,,,
25.95833333,32.19166667,6.34,,,,
23.03166667,34.8,6.39,,,,
35.01833333,30.18833333,6.47,,,,
