RA,Dec,mag,x,y,x0,y0
334.6254167,-60.25972222,2.86,,,,
349.3575,-58.23583333,3.99,,,,
5.017916667,-64.87472222,4.23,,,,
7.88625,-62.95805556,4.37,,,,
336.8333333,-64.96638889,4.48,,,,
359.9791667,-65.57722222,4.5,,,,
7.89,-62.96583333,4.54,,,,
338.2504167,-61.98222222,4.81,,,,
18.94208333,-68.87611111,4.86,,,,
359.3966667,-64.29833333,5,,,,
8.1825,-63.03111111,5.09,,,,
336.235,-57.79722222,5.32,,,,
16.82791667,-61.77527778,5.37,,,,
10.61833333,-65.46805556,5.39,,,,
13.75125,-69.52694444,5.45,,,,
5.1625,-69.625,5.51,,,,
351.3308333,-56.84916667,5.59,,,,
1.172083333,-71.43694444,5.59,,,,
351.8125,-58.47611111,5.63,,,,
349.2404167,-62.00111111,5.66,,,,
352.2541667,-63.11083333,5.68,,,,
13.40791667,-62.87138889,5.7,,,,
356.05,-64.40444444,5.72,,,,
10.11,-59.45444444,5.89,,,,
340.20375,-57.42222222,5.97,,,,
359.3329167,-62.95638889,5.97,,,,
10.67416667,-60.2625,5.98,,,,
11.13458333,-62.49777778,6.07,,,,
356.1058333,-70.49027778,6.07,,,,
350.7370833,-60.05583333,6.09,,,,
343.04125,-63.18861111,6.12,,,,
348.5275,-62.7,6.12,,,,
8.347083333,-71.26611111,6.13,,,,
15.67875,-65.45611111,6.21,,,,
13.10125,-69.50444444,6.22,,,,
14.59333333,-60.69638889,6.23,,,,
338.9704167,-57.88361111,6.23,,,,
19.265,-66.39805556,6.24,,,,
341.06875,-60.49944444,6.3,,,,
335.1508333,-57.51,6.34,,,,
342.0891667,-61.68416667,6.37,,,,
9.155833333,-65.12472222,6.42,,,,
351.78,-66.58111111,6.45,,,,
342.9370833,-59.88138889,6.46,,,,
357.43625,-62.83944444,6.59,,,,
2.660833333,-73.22444444,6.64,,,,
9.67,-73.13722222,6.85,,,,
356.8470833,-68.39416667,6.89,,,,
1.127916667,-72.89777778,7.31,,,,
353.8029167,-64.68944444,7.4,,,,
