RA,Dec,mag,x,y,x0,y0
37.95291667,89.26416667,2.02,,,,
222.67625,74.15555556,2.08,,,,
230.1820833,71.83388889,3.05,,,,
251.4920833,82.03722222,4.23,,,,
216.88125,75.69611111,4.25,,,,
236.0145833,77.79444444,4.32,,,,
263.05375,86.58638889,4.36,,,,
224.3958333,65.9325,4.6,,,,
212.2120833,77.5475,4.82,,,,
244.37625,75.75527778,4.95,,,,
232.85375,77.34944444,4.96,,,,
229.2745833,71.82388889,5.02,,,,
228.6595833,67.34666667,5.13,,,,
213.0166667,69.4325,5.24,,,,
242.70625,75.8775,5.48,,,,
204.2958333,71.24222222,5.5,,,,
240.8804167,76.79361111,5.56,,,,
246.4295833,78.96388889,5.56,,,,
234.4129167,69.28333333,5.62,,,,
222.585,82.51194444,5.64,,,,
259.9041667,80.13638889,5.72,,,,
201.53375,72.39138889,5.79,,,,
262.7,86.96805556,5.79,,,,
205.66375,78.06444444,5.91,,,,
243.6395833,73.395,5.98,,,,
250.775,77.51416667,5.98,,,,
225.9908333,65.91972222,6.13,,,,
227.68375,67.78138889,6.17,,,,
255.4175,75.29722222,6.21,,,,
218.4095833,79.66027778,6.26,,,,
183.8345833,87.7,6.28,,,,
196.2070833,73.02527778,6.31,,,,
249.4704167,78.91833333,6.32,,,,
184.2141667,86.43611111,6.33,,,,
247.6616667,77.44666667,6.34,,,,
259.2366667,89.03777778,6.38,,,,
243.1341667,75.21055556,6.39,,,,
211.735,74.59361111,6.45,,,,
23.46,89.01555556,6.46,,,,
228.71625,68.94527778,6.51,,,,
232.2958333,80.44861111,6.58,,,,
198.3833333,72.79888889,6.59,,,,
