RA,Dec,mag,x,y,x0,y0
122.3833333,-47.33666667,1.78,,,,
131.1758333,-54.70833333,1.96,,,,
136.9991667,-43.4325,2.21,,,,
140.5283333,-55.01083333,2.5,,,,
161.6925,-49.42,2.69,,,,
142.8054167,-57.03444444,3.13,,,,
149.2158333,-54.56777778,3.54,,,,
142.675,-40.46666667,3.6,,,,
130.0733333,-52.92194444,3.62,,,,
136.03875,-47.09777778,3.75,,,,
130.1566667,-46.64888889,3.84,,,,
159.3254167,-48.22583333,3.84,,,,
153.6841667,-42.12194444,3.85,,,,
131.5070833,-46.04166667,3.91,,,,
131.1,-42.64916667,4.07,,,,
129.41125,-42.98916667,4.14,,,,
122.3720833,-47.34583333,4.27,,,,
159.8266667,-55.60333333,4.28,,,,
144.2066667,-49.35527778,4.35,,,,
165.03875,-42.22583333,4.39,,,,
135.0225,-41.25388889,4.45,,,,
155.2283333,-56.04305556,4.5,,,,
154.9033333,-55.02944444,4.57,,,,
147.92,-46.54777778,4.58,,,,
138.9379167,-37.41333333,4.62,,,,
134.0808333,-52.72361111,4.69,,,,
130.3045833,-47.31694444,4.77,,,,
125.6316667,-48.49027778,4.82,,,,
155.5816667,-41.65,4.83,,,,
130.60625,-53.11388889,4.86,,,,
152.2345833,-51.81111111,4.86,,,,
157.8408333,-53.71555556,4.89,,,,
132.44875,-45.30805556,4.93,,,,
138.9029167,-38.57,4.94,,,,
127.365,-44.725,4.99,,,,
137.7683333,-44.86805556,5,,,,
128.6816667,-49.94416667,5.01,,,,
143.5366667,-51.25527778,5.01,,,,
158.2370833,-47.00333333,5.02,,,,
121.6683333,-45.26638889,5.05,,,,
147.4879167,-45.73277778,5.08,,,,
151.5470833,-47.37,5.08,,,,
126.9020833,-53.08861111,5.09,,,,
132.6395833,-46.52916667,5.1,,,,
141.5754167,-53.37916667,5.11,,,,
139.09625,-44.26583333,5.12,,,,
143.4354167,-49.005,5.12,,,,
123.4008333,-46.99194444,5.13,,,,
130.9179167,-49.82277778,5.16,,,,
126.3791667,-51.72805556,5.17,,,,
134.7179167,-47.23472222,5.18,,,,
129.99,-53.055,5.19,,,,
130.0804167,-40.26416667,5.2,,,,
122.3995833,-44.12277778,5.21,,,,
122.43,-47.9375,5.23,,,,
130.4870833,-45.41083333,5.23,,,,
135.4358333,-52.18833333,5.23,,,,
161.7395833,-56.75722222,5.23,,,,
138.6020833,-43.2275,5.25,,,,
139.5241667,-51.05111111,5.26,,,,
138.575,-55.56972222,5.27,,,,
153.345,-51.23333333,5.28,,,,
127.2695833,-47.92916667,5.33,,,,
133.46125,-47.52083333,5.33,,,,
139.2383333,-39.40138889,5.33,,,,
143.0804167,-40.64944444,5.35,,,,
142.5216667,-51.51722222,5.45,,,,
144.30125,-53.66861111,5.45,,,,
131.6275,-45.91277778,5.46,,,,
129.8491667,-53.43972222,5.48,,,,
132.4133333,-40.32055556,5.48,,,,
144.50625,-43.19111111,5.5,,,,
123.3920833,-50.19611111,5.51,,,,
130.5666667,-48.09916667,5.51,,,,
130.57875,-53.1,5.52,,,,
135.3366667,-41.86444444,5.55,,,,
146.6266667,-44.755,5.55,,,,
145.9258333,-53.89166667,5.56,,,,
138.1275,-43.61361111,5.57,,,,
140.4620833,-42.195,5.58,,,,
156.7041667,-54.8775,5.58,,,,
153.88125,-43.1125,5.6,,,,
130.0725,-53.01527778,5.61,,,,
147.8325,-46.19388889,5.62,,,,
140.4583333,-55.515,5.63,,,,
