RA,Dec,mag,x,y,x0,y0
201.2983333,-11.16138889,0.98,,,,
195.5441667,10.95916667,2.83,,,,
203.6733333,-0.595833333,3.37,,,,
193.9008333,3.3975,3.38,,,,
177.67375,1.764722222,3.61,,,,
190.415,-1.449444444,3.65,,,,
190.415,-1.449444444,3.68,,,,
221.5620833,1.892777778,3.72,,,,
220.765,-5.658333333,3.88,,,,
184.9766667,-0.666944444,3.89,,,,
176.465,6.529444444,4.03,,,,
214.00375,-6.000555556,4.08,,,,
181.3020833,8.733055556,4.12,,,,
213.2241667,-10.27361111,4.19,,,,
210.4116667,1.544444444,4.26,,,,
197.4875,-5.538888889,4.38,,,,
225.725,2.091388889,4.4,,,,
214.7775,-13.37111111,4.52,,,,
180.2183333,6.614166667,4.66,,,,
189.8116667,-7.995555556,4.66,,,,
202.99125,-6.255833333,4.69,,,,
199.60125,-18.31138889,4.74,,,,
201.8633333,-15.97361111,4.76,,,,
193.5883333,-9.538888889,4.79,,,,
199.40125,5.469722222,4.8,,,,
217.0504167,-2.228055556,4.81,,,,
176.32125,8.258333333,4.85,,,,
190.47125,10.23555556,4.88,,,,
212.7104167,-16.30194444,4.91,,,,
203.5329167,3.658888889,4.94,,,,
185.0875,3.3125,4.96,,,,
207.4679167,-18.13416667,4.97,,,,
202.1075,13.77888889,4.98,,,,
205.4033333,-8.703055556,5.01,,,,
213.0658333,2.409444444,5.01,,,,
198.0145833,-16.19861111,5.04,,,,
216.0470833,5.82,5.1,,,,
214.8854167,-2.265555556,5.14,,,,
208.6754167,-1.503055556,5.15,,,,
196.9741667,-10.74027778,5.19,,,,
203.2420833,-10.165,5.21,,,,
191.4045833,7.673333333,5.22,,,,
198.995,-19.94305556,5.22,,,,
199.19375,9.424166667,5.22,,,,
201.68,-12.70777778,5.25,,,,
176.97875,8.245833333,5.32,,,,
198.5454167,-19.93083333,5.33,,,,
199.315,13.67555556,5.33,,,,
174.615,8.134166667,5.36,,,,
205.7654167,3.538055556,5.36,,,,
179.9870833,3.655277778,5.37,,,,
200.7545833,-17.73527778,5.37,,,,
217.17375,-6.900555556,5.42,,,,
206.8558333,-17.86,5.43,,,,
213.8504167,-18.20083333,5.43,,,,
211.6783333,-9.313333333,5.46,,,,
188.445,-9.451944444,5.48,,,,
206.4845833,-12.42666667,5.51,,,,
224.38875,-0.1675,5.53,,,,
180.1854167,-10.44611111,5.55,,,,
197.1354167,-8.984444444,5.55,,,,
203.2154167,-15.36305556,5.55,,,,
178.7629167,8.443888889,5.58,,,,
195.9420833,-20.58305556,5.58,,,,
190.4879167,6.806666667,5.59,,,,
206.1241667,-16.17916667,5.6,,,,
177.7591667,-5.333333333,5.64,,,,
202.3041667,10.81833333,5.65,,,,
191.59375,9.54,5.67,,,,
198.6304167,11.33166667,5.67,,,,
