RA,Dec,mag,x,y,x0,y0
126.4341667,-66.13694444,3.77,,,,
107.1870833,-70.49888889,3.78,,,,
115.455,-72.60611111,3.95,,,,
109.2075,-67.95722222,3.98,,,,
135.6116667,-66.39611111,4,,,,
121.9825,-68.61722222,4.35,,,,
124.57875,-65.61333333,5.07,,,,
104.9604167,-67.91611111,5.17,,,,
129.7716667,-70.38694444,5.2,,,,
125.5183333,-73.4,5.29,,,,
132.645,-66.79305556,5.35,,,,
124.9541667,-71.515,5.37,,,,
102.8625,-70.96333333,5.4,,,,
126.8204167,-70.09333333,5.53,,,,
125.0029167,-71.50527778,5.65,,,,
107.1758333,-70.49722222,5.69,,,,
117.4208333,-66.19583333,5.79,,,,
135.2854167,-68.68388889,5.88,,,,
126.465,-64.60083333,5.97,,,,
131.125,-65.82555556,6.05,,,,
101.23375,-70.43388889,6.11,,,,
132.4595833,-72.55083333,6.11,,,,
128.1758333,-73.35666667,6.12,,,,
116.0541667,-69.82138889,6.18,,,,
130.97625,-68.21166667,6.32,,,,
119.8170833,-73.24472222,6.34,,,,
100.9033333,-73.11805556,6.37,,,,
116.1829167,-66.07194444,6.38,,,,
112.21375,-64.51,6.39,,,,
106.55875,-68.83722222,6.47,,,,
100.2408333,-71.77555556,6.51,,,,
113.8404167,-74.27555556,7.16,,,,
113.8408333,-74.27555556,7.26,,,,
