RA,Dec,l,b,x,y
14.19583333,65.1,,,,
14.49166667,64.11666667,,,,
17.3125,63.63333333,,,,
17.54166667,63.05,,,,
13.93333333,62.66666667,,,,
12.41666667,61.65,,,,
11.40416667,61.66666667,,,,
10.55833333,62.76666667,,,,
11.65,63.76666667,,,,
11.21666667,64.4,,,,
9.145833333,64,,,,
7.229166667,63.33333333,,,,
5.829166667,63.35,,,,
3.7,64.33333333,,,,
1.441666667,64.7,,,,
0.020833333,63.35,,,,
357.875,62.75,,,,
351.4666667,62.2,,,,
343.6833333,60.36666667,,,,
337.5916667,58.18333333,,,,
333.8625,57.56666667,,,,
333.3208333,58.55,,,,
333.7083333,60.45,,,,
334.4666667,62.33333333,,,,
335.9291667,62.3,,,,
339.5375,63.23333333,,,,
340.6041667,63.95,,,,
340.175,65.3,,,,
