RA,Dec,l,b,x,y
187.8916667,-66.31666667,,,,
186.9041667,-65.93333333,,,,
186.6958333,-65.26666667,,,,
186.8708333,-64.55,,,,
189.0458333,-64.5,,,,
190.5916667,-64.5,,,,
189.875,-64.23333333,,,,
187.1291667,-63.85,,,,
187.4708333,-63.46666667,,,,
189.2625,-63.18333333,,,,
187.7916667,-62.36666667,,,,
187.8625,-62.11666667,,,,
190.3291667,-61.18333333,,,,
193.1666667,-61.25,,,,
193.925,-61.2,,,,
193.9541667,-60.98333333,,,,
195.775,-61.01666667,,,,
196.5291667,-61.38333333,,,,
197.75,-61.55,,,,
198.5208333,-62.38333333,,,,
197.3458333,-62.78333333,,,,
197.5458333,-63.15,,,,
198.1291667,-63.51666667,,,,
197.325,-64.05,,,,
196.7333333,-64.08333333,,,,
196.1166667,-64.38333333,,,,
192.4708333,-64.33333333,,,,
191.4958333,-65,,,,
191.3791667,-65.8,,,,
189.6625,-65.78333333,,,,
189.0208333,-66.08333333,,,,
187.8916667,-66.31666667,,,,
