RA,Dec,l,b,x,y
307.2791667,57.18333333,,,,
308.5375,54.8,,,,
311.7958333,51.3,,,,
314.9125,50.11666667,,,,
315.0666667,48.9,,,,
315.7833333,48.2,,,,
318.2166667,47.96666667,,,,
318.2625,47.21666667,,,,
319.15,47.41666667,,,,
318.65,48.08333333,,,,
319.7375,49.61666667,,,,
320.8875,51.53333333,,,,
322.25,52.13333333,,,,
321.6375,53,,,,
319.8125,53.61666667,,,,
318.675,54.98333333,,,,
319.3166667,56.06666667,,,,
322.5583333,56.43333333,,,,
322.8208333,57.18333333,,,,
322.5208333,58.33333333,,,,
320.5541667,59.2,,,,
319.7666667,61.15,,,,
