RA,Dec,l,b,x,y
267.1458333,2.466666667,,,,
267.85,1.55,,,,
268.9541667,0.633333333,,,,
269.8416667,0.666666667,,,,
270.8375,1.066666667,,,,
272.3541667,1.583333333,,,,
275.8583333,2.283333333,,,,
279.0583333,3.016666667,,,,
281.5541667,3.6,,,,
282.2875,4.15,,,,
282.475,4.866666667,,,,
281.6041667,5.966666667,,,,
281.6916667,7.816666667,,,,
283.7958333,8.983333333,,,,
284.2958333,10.08333333,,,,
285.3375,11.11666667,,,,
286.6541667,11.75,,,,
286.9583333,12.96666667,,,,
286.1208333,13.78333333,,,,
286.2375,14.26666667,,,,
287.0375,14.51666667,,,,
288.4833333,14.18333333,,,,
289.4791667,14.46666667,,,,
289.7541667,15.08333333,,,,
289.6958333,16.23333333,,,,
288.0458333,17.1,,,,
288.2708333,18.05,,,,
288.0041667,19.31666667,,,,
289.0416667,19.8,,,,
289.575,20.36666667,,,,
289.1833333,21.21666667,,,,
290.0041667,21.91666667,,,,
291.0375,21.91666667,,,,
291.925,21.5,,,,
292.7166667,22.11666667,,,,
294.1166667,23.28333333,,,,
295.3833333,23.61666667,,,,
296.0291667,24.48333333,,,,
295.7,25.2,,,,
295.1375,25.68333333,,,,
294.7333333,25.8,,,,
295.3875,26.41666667,,,,
296.3458333,27.13333333,,,,
297.9625,27.33333333,,,,
299.2,28.26666667,,,,
300.7333333,28.91666667,,,,
301.5458333,30.23333333,,,,
302.2166667,32.71666667,,,,
303.4833333,34.3,,,,
304.475,35.5,,,,
305.5125,37.3,,,,
306.3458333,38.5,,,,
307.2666667,39.85,,,,
307.4,40.33333333,,,,
307.3583333,41.41666667,,,,
306.825,42.18333333,,,,
306.1666667,43.06666667,,,,
305.2166667,44.35,,,,
303.6375,45,,,,
303.75,45.31666667,,,,
305.3875,45.15,,,,
308.2333333,45.03333333,,,,
310.4458333,44.95,,,,
310.9416667,45.38333333,,,,
311.9208333,45.13333333,,,,
313.1666667,45.16666667,,,,
313.4208333,44.86666667,,,,
313.575,44.83333333,,,,
313.6791667,44.56666667,,,,
313.8291667,44.6,,,,
314.0333333,44.03333333,,,,
313.9958333,43.91666667,,,,
314.2583333,43.85,,,,
314.3375,44.06666667,,,,
314.6125,44.11666667,,,,
314.7416667,43.86666667,,,,
314.6083333,43.68333333,,,,
314.425,43.58333333,,,,
314.2791667,43.23333333,,,,
314.5958333,43.13333333,,,,
314.6416667,43.35,,,,
315.3291667,43.75,,,,
315.5458333,43.81666667,,,,
315.7958333,43.95,,,,
315.8875,44.26666667,,,,
316.1333333,44.31666667,,,,
316.225,44.61666667,,,,
316.7208333,45.2,,,,
317.825,44.55,,,,
316.4708333,43.8,,,,
316.5083333,43.58333333,,,,
319.1375,43.05,,,,
318.6375,41.58333333,,,,
317.725,41.21666667,,,,
317.3791667,39.7,,,,
316.7666667,39.46666667,,,,
315.8708333,39.73333333,,,,
314.9583333,41.38333333,,,,
313.6833333,41.7,,,,
313.325,41.2,,,,
312.7333333,40.63333333,,,,
312.7416667,38.03333333,,,,
311.525,37.18333333,,,,
309.6541667,36.73333333,,,,
307.7208333,36.73333333,,,,
306.8333333,36.45,,,,
305.7541667,35.28333333,,,,
304.8958333,33.6,,,,
