RA,Dec,l,b,x,y
64.29166667,52.25,,,,
62.09166667,51.5,,,,
61.29166667,50.45,,,,
61.60833333,49.5,,,,
62.1875,48.36666667,,,,
61.92916667,46.93333333,,,,
62.5,46.03333333,,,,
61.37916667,44.85,,,,
60.31666667,44.81666667,,,,
57.84166667,46.55,,,,
56.475,47.96666667,,,,
54.90833333,49.33333333,,,,
52.15416667,50.35,,,,
49.74583333,50.65,,,,
49.19583333,48.26666667,,,,
48.4875,47.63333333,,,,
47.50833333,47.76666667,,,,
42.9,50.01666667,,,,
39.5375,53.03333333,,,,
39.69583333,54.95,,,,
41.58333333,55.83333333,,,,
43.3,56.35,,,,
43.5125,56.98333333,,,,
40.65,58.61666667,,,,
34.79166667,60.45,,,,
29.93333333,61.4,,,,
29.15833333,61.65,,,,
29.3125,62.1,,,,
31.2125,62.26666667,,,,
36.5875,61.1,,,,
40.37916667,60.03333333,,,,
46.09583333,59.41666667,,,,
49.82083333,59.26666667,,,,
51.66666667,58.53333333,,,,
53.45,58.41666667,,,,
