RA,Dec,l,b,x,y
248.1,-35.33333333,,,,
249.4,-38.48333333,,,,
250.3875,-42.63333333,,,,
249.3,-43.38333333,,,,
246.4875,-44.75,,,,
244.9083333,-48.05,,,,
242.8375,-50.15,,,,
243.2458333,-51.51666667,,,,
239.3041667,-55.03333333,,,,
237.1,-55.78333333,,,,
233.85,-57.78333333,,,,
232.6541667,-58.63333333,,,,
229.7791667,-58.61666667,,,,
227.0125,-58.91666667,,,,
224.7833333,-60.21666667,,,,
221.7833333,-60.38333333,,,,
219.2541667,-58.53333333,,,,
219.7583333,-57.06666667,,,,
223.0666667,-56.23333333,,,,
228.2625,-55.43333333,,,,
234.7166667,-53.36666667,,,,
237.8208333,-53.3,,,,
238.1791667,-52.95,,,,
237.625,-51.38333333,,,,
238.1416667,-49.91666667,,,,
239.625,-48.66666667,,,,
240.0208333,-46.18333333,,,,
241.4708333,-42.26666667,,,,
242.5666667,-38.15,,,,
241.9375,-37.13333333,,,,
241.2041667,-36.56666667,,,,
