RA,Dec,l,b,x,y
146.3375,-45.55,,,,
146.6625,-46.4,,,,
146.7541667,-47.4,,,,
145.1583333,-48.31666667,,,,
142.9625,-48.95,,,,
140.3,-50.06666667,,,,
139.2666667,-50.98333333,,,,
139.3875,-51.83333333,,,,
137.3583333,-51.7,,,,
135.9666667,-51.7,,,,
134.9583333,-51.4,,,,
134.1291667,-50.46666667,,,,
134.2625,-49.33333333,,,,
135.5208333,-48.03333333,,,,
136.5458333,-47.21666667,,,,
136.4125,-46.61666667,,,,
134.5541667,-46.33333333,,,,
133.25,-45.66666667,,,,
133.275,-44.83333333,,,,
134.6083333,-43.5,,,,
135.0708333,-42.63333333,,,,
135.3291667,-42.15,,,,
