RA,Dec,l,b,x,y
0.066666667,61.4,,,,
0.25,60.78333333,,,,
358.875,59.61666667,,,,
355.2083333,58.21666667,,,,
352.2,57.03333333,,,,
350.3583333,56.51666667,,,,
349.3708333,56.91666667,,,,
348.325,57.46666667,,,,
347.2958333,57.48333333,,,,
345.1958333,57.16666667,,,,
345.1666667,57.53333333,,,,
346.0291667,58.31666667,,,,
348.1291667,59.3,,,,
350.6958333,59.88333333,,,,
352.4333333,59.73333333,,,,
353.5166667,60.05,,,,
354.375,60.86666667,,,,
356.225,61.65,,,,
359.0208333,61.91666667,,,,
0.066666667,61.4,,,,
