RA,Dec,l,b,x,y
261.925,-24.05,,,,
261.2166667,-23.56666667,,,,
261.7291667,-23.4,,,,
262.1875,-22.93333333,,,,
262.8083333,-23.28333333,,,,
262.7708333,-23.96666667,,,,
264.25,-24.36666667,,,,
263.9291667,-24.98333333,,,,
265.3666667,-24.7,,,,
265.2666667,-25.45,,,,
264.8333333,-26.13333333,,,,
263.8708333,-26.46666667,,,,
263.5166667,-26.7,,,,
263.5583333,-27.25,,,,
262.0208333,-27.21666667,,,,
260.1208333,-27.36666667,,,,
259.5541667,-27.71666667,,,,
257.7583333,-27.68333333,,,,
257.4208333,-27.36666667,,,,
257.7458333,-27.06666667,,,,
258.7791667,-27.03333333,,,,
259.3041667,-26.58333333,,,,
260.7416667,-26.46666667,,,,
262.0958333,-26.4,,,,
262.1041667,-25.78333333,,,,
262.6625,-24.86666667,,,,
262.3,-24.25,,,,
261.925,-24.05,,,,
