shapeid,ID,MARE_NAME,Perimtr_km,Area_km
,,,,
0,1,Cognitum East,4157.317772,58602.59293
0.0.ring1,1,Cognitum East,4157.317772,58602.59293
0.0.ring2,1,Cognitum East,4157.317772,58602.59293
0.0.ring3,1,Cognitum East,4157.317772,58602.59293
0.0.ring4,1,Cognitum East,4157.317772,58602.59293
0.0.ring5,1,Cognitum East,4157.317772,58602.59293
0.0.ring6,1,Cognitum East,4157.317772,58602.59293
0.0.ring7,1,Cognitum East,4157.317772,58602.59293
0.0.ring8,1,Cognitum East,4157.317772,58602.59293
0.0.ring9,1,Cognitum East,4157.317772,58602.59293
0.0.ring10,1,Cognitum East,4157.317772,58602.59293
0.0.ring11,1,Cognitum East,4157.317772,58602.59293
0.0.ring12,1,Cognitum East,4157.317772,58602.59293
0.0.ring13,1,Cognitum East,4157.317772,58602.59293
0.0.ring14,1,Cognitum East,4157.317772,58602.59293
0.0.ring15,1,Cognitum East,4157.317772,58602.59293
0.0.ring16,1,Cognitum East,4157.317772,58602.59293
0.0.ring17,1,Cognitum East,4157.317772,58602.59293
0.0.ring18,1,Cognitum East,4157.317772,58602.59293
0.0.ring19,1,Cognitum East,4157.317772,58602.59293
0.0.ring20,1,Cognitum East,4157.317772,58602.59293
0.0.ring21,1,Cognitum East,4157.317772,58602.59293
0.0.ring22,1,Cognitum East,4157.317772,58602.59293
0.0.ring23,1,Cognitum East,4157.317772,58602.59293
0.0.ring24,1,Cognitum East,4157.317772,58602.59293
0.0.ring25,1,Cognitum East,4157.317772,58602.59293
0.0.ring26,1,Cognitum East,4157.317772,58602.59293
0.0.ring27,1,Cognitum East,4157.317772,58602.59293
0.0.ring28,1,Cognitum East,4157.317772,58602.59293
0.0.ring29,1,Cognitum East,4157.317772,58602.59293
0.0.ring30,1,Cognitum East,4157.317772,58602.59293
0.0.ring31,1,Cognitum East,4157.317772,58602.59293
0.0.ring32,1,Cognitum East,4157.317772,58602.59293
0.0.ring33,1,Cognitum East,4157.317772,58602.59293
0.0.ring34,1,Cognitum East,4157.317772,58602.59293
0.0.ring35,1,Cognitum East,4157.317772,58602.59293
0.0.ring36,1,Cognitum East,4157.317772,58602.59293
0.0.ring37,1,Cognitum East,4157.317772,58602.59293
0.0.ring38,1,Cognitum East,4157.317772,58602.59293
0.0.ring39,1,Cognitum East,4157.317772,58602.59293
0.0.ring40,1,Cognitum East,4157.317772,58602.59293
0.0.ring41,1,Cognitum East,4157.317772,58602.59293
0.0.ring42,1,Cognitum East,4157.317772,58602.59293
0.0.ring43,1,Cognitum East,4157.317772,58602.59293
0.0.ring44,1,Cognitum East,4157.317772,58602.59293
0.0.ring45,1,Cognitum East,4157.317772,58602.59293
0.0.ring46,1,Cognitum East,4157.317772,58602.59293
0.0.ring47,1,Cognitum East,4157.317772,58602.59293
0.0.ring48,1,Cognitum East,4157.317772,58602.59293
0.0.ring49,1,Cognitum East,4157.317772,58602.59293
0.0.ring50,1,Cognitum East,4157.317772,58602.59293
0.0.ring51,1,Cognitum East,4157.317772,58602.59293
0.0.ring52,1,Cognitum East,4157.317772,58602.59293
0.0.ring53,1,Cognitum East,4157.317772,58602.59293
0.0.ring54,1,Cognitum East,4157.317772,58602.59293
0.0.ring55,1,Cognitum East,4157.317772,58602.59293
0.0.ring56,1,Cognitum East,4157.317772,58602.59293
0.0.ring57,1,Cognitum East,4157.317772,58602.59293
0.0.ring58,1,Cognitum East,4157.317772,58602.59293
0.0.ring59,1,Cognitum East,4157.317772,58602.59293
0.0.ring60,1,Cognitum East,4157.317772,58602.59293
0.0.ring61,1,Cognitum East,4157.317772,58602.59293
0.0.ring62,1,Cognitum East,4157.317772,58602.59293
0.0.ring63,1,Cognitum East,4157.317772,58602.59293
0.0.ring64,1,Cognitum East,4157.317772,58602.59293
0.0.ring65,1,Cognitum East,4157.317772,58602.59293
0.0.ring66,1,Cognitum East,4157.317772,58602.59293
0.0.ring67,1,Cognitum East,4157.317772,58602.59293
0.0.ring68,1,Cognitum East,4157.317772,58602.59293
0.0.ring69,1,Cognitum East,4157.317772,58602.59293
0.0.ring70,1,Cognitum East,4157.317772,58602.59293
0.0.ring71,1,Cognitum East,4157.317772,58602.59293
0.0.ring72,1,Cognitum East,4157.317772,58602.59293
0.0.ring73,1,Cognitum East,4157.317772,58602.59293
0.0.ring74,1,Cognitum East,4157.317772,58602.59293
0.0.ring75,1,Cognitum East,4157.317772,58602.59293
0.0.ring76,1,Cognitum East,4157.317772,58602.59293
0.0.ring77,1,Cognitum East,4157.317772,58602.59293
0.0.ring78,1,Cognitum East,4157.317772,58602.59293
0.0.ring79,1,Cognitum East,4157.317772,58602.59293
0.0.ring80,1,Cognitum East,4157.317772,58602.59293
0.0.ring81,1,Cognitum East,4157.317772,58602.59293
0.0.ring82,1,Cognitum East,4157.317772,58602.59293
0.0.ring83,1,Cognitum East,4157.317772,58602.59293
0.0.ring84,1,Cognitum East,4157.317772,58602.59293
0.0.ring85,1,Cognitum East,4157.317772,58602.59293
0.0.ring86,1,Cognitum East,4157.317772,58602.59293
0.0.ring87,1,Cognitum East,4157.317772,58602.59293
0.0.ring88,1,Cognitum East,4157.317772,58602.59293
1,0,Crger,151.9394066,1312.065759
2,0,Endymion,447.1622943,6514.848991
3,0,Mare Temporis,346.9204432,1944.760025
4,0,Schumacher B,66.47106714,266.5917286
5,0,Lacus Temporis,42.04800555,64.96820143
6,0,Lacus Temporis,67.73973128,49.13670432
7,0,Lacus Temporis,150.6449528,515.0634916
8,0,Lacus Temporis,268.9822551,1068.410253
9,0,Lacus Temporis,70.92637281,316.0413489
10,0,Lacus Temporis,318.274902,897.2745486
10.0.ring1,0,Lacus Temporis,318.274902,897.2745486
10.0.ring2,0,Lacus Temporis,318.274902,897.2745486
11,0,Schumacher,204.8387736,1350.078167
12,0,Lacus Temporis,1000.355139,7466.359171
13,0,Lacus Temporis,169.2533444,592.1003796
14,0,Lacus Temporis,61.14948884,168.8139451
15,0,Lacus Temporis,143.9986866,302.8403278
16,0,Lacus Temporis,74.12728319,106.7481779
17,0,Lacus Temporis,845.1869608,2870.52905
17.0.ring1,0,Lacus Temporis,845.1869608,2870.52905
17.0.ring2,0,Lacus Temporis,845.1869608,2870.52905
18,0,Lacus Temporis,76.69136437,178.5863057
19,0,Lacus Temporis,315.860931,856.6958978
19.0.ring1,0,Lacus Temporis,315.860931,856.6958978
19.0.ring2,0,Lacus Temporis,315.860931,856.6958978
19.0.ring3,0,Lacus Temporis,315.860931,856.6958978
19.0.ring4,0,Lacus Temporis,315.860931,856.6958978
20,5,Lacus Temporis,549.9949861,2448.11452
21,0,Mercurius,211.1478695,919.5460586
21.0.ring1,0,Mercurius,211.1478695,919.5460586
22,1,Kohlschtter,182.8526354,1222.723879
23,2,Campbell,639.3117683,1764.955065
24,3,Aitken,656.6807885,2986.607495
24.0.ring1,3,Aitken,656.6807885,2986.607495
24.0.ring2,3,Aitken,656.6807885,2986.607495
24.0.ring3,3,Aitken,656.6807885,2986.607495
25,4,Isaev,334.4664706,1187.930712
25.0.ring1,4,Isaev,334.4664706,1187.930712
26,6,Mare Orientale,77.29481835,91.4272572
27,10,Langemak,126.2408928,416.9631495
28,11,Apollo,1289.68348,8353.480835
28.0.ring1,11,Apollo,1289.68348,8353.480835
28.0.ring2,11,Apollo,1289.68348,8353.480835
28.0.ring3,11,Apollo,1289.68348,8353.480835
29,12,Apollo,259.2746503,600.2375448
29.0.ring1,12,Apollo,259.2746503,600.2375448
30,13,Apollo,948.2336269,2793.135441
30.0.ring1,13,Apollo,948.2336269,2793.135441
30.0.ring2,13,Apollo,948.2336269,2793.135441
30.1,13,Apollo,948.2336269,2793.135441
31,15,Davisson,467.2426445,2972.566166
31.0.ring1,15,Davisson,467.2426445,2972.566166
32,16,Maksutov,472.9457232,2667.022755
32.0.ring1,16,Maksutov,472.9457232,2667.022755
32.0.ring2,16,Maksutov,472.9457232,2667.022755
32.0.ring3,16,Maksutov,472.9457232,2667.022755
32.0.ring4,16,Maksutov,472.9457232,2667.022755
33,0,Leibnitz,1765.545297,12218.66382
33.0.ring1,0,Leibnitz,1765.545297,12218.66382
33.0.ring2,0,Leibnitz,1765.545297,12218.66382
33.0.ring3,0,Leibnitz,1765.545297,12218.66382
33.0.ring4,0,Leibnitz,1765.545297,12218.66382
33.0.ring5,0,Leibnitz,1765.545297,12218.66382
33.0.ring6,0,Leibnitz,1765.545297,12218.66382
34,0,Leibnitz,82.1837764,236.3671096
35,0,Von Krmn,1456.998936,10631.22189
35.0.ring1,0,Von Krmn,1456.998936,10631.22189
35.0.ring2,0,Von Krmn,1456.998936,10631.22189
36,0,Von Krmn,1816.695866,6029.422662
36.0.ring1,0,Von Krmn,1816.695866,6029.422662
36.0.ring2,0,Von Krmn,1816.695866,6029.422662
36.0.ring3,0,Von Krmn,1816.695866,6029.422662
36.0.ring4,0,Von Krmn,1816.695866,6029.422662
36.0.ring5,0,Von Krmn,1816.695866,6029.422662
36.0.ring6,0,Von Krmn,1816.695866,6029.422662
36.0.ring7,0,Von Krmn,1816.695866,6029.422662
37,0,Van de Graaff,519.0563443,3043.760575
37.0.ring1,0,Van de Graaff,519.0563443,3043.760575
37.0.ring2,0,Van de Graaff,519.0563443,3043.760575
37.0.ring3,0,Van de Graaff,519.0563443,3043.760575
37.0.ring4,0,Van de Graaff,519.0563443,3043.760575
37.0.ring5,0,Van de Graaff,519.0563443,3043.760575
38,0,Apollo,1821.864238,9672.786693
38.0.ring1,0,Apollo,1821.864238,9672.786693
38.0.ring2,0,Apollo,1821.864238,9672.786693
39,0,Leeuwenhoek,524.9609256,2136.573377
39.0.ring1,0,Leeuwenhoek,524.9609256,2136.573377
40,0,Leibnitz,841.9419491,6385.483321
41,0,Rumford,215.8230829,969.2442709
41.0.ring1,0,Rumford,215.8230829,969.2442709
42,0,South Pole Aitken Basin,1130.860587,4065.726128
42.0.ring1,0,South Pole Aitken Basin,1130.860587,4065.726128
43,0,South Pole Aitken Basin,1839.226497,8246.80952
43.0.ring1,0,South Pole Aitken Basin,1839.226497,8246.80952
43.0.ring2,0,South Pole Aitken Basin,1839.226497,8246.80952
43.0.ring3,0,South Pole Aitken Basin,1839.226497,8246.80952
43.0.ring4,0,South Pole Aitken Basin,1839.226497,8246.80952
43.0.ring5,0,South Pole Aitken Basin,1839.226497,8246.80952
43.0.ring6,0,South Pole Aitken Basin,1839.226497,8246.80952
43.0.ring7,0,South Pole Aitken Basin,1839.226497,8246.80952
44,0,Minkowski,369.4111944,609.5427123
45,0,Karrer,377.1979054,666.0812878
45.0.ring1,0,Karrer,377.1979054,666.0812878
45.0.ring2,0,Karrer,377.1979054,666.0812878
46,0,Baldet,274.0862783,966.1438178
47,0,Baldet,102.872417,156.4861975
48,0,South Pole Aitken Basin,3269.557285,6538.883134
48.0.ring1,0,South Pole Aitken Basin,3269.557285,6538.883134
48.0.ring2,0,South Pole Aitken Basin,3269.557285,6538.883134
48.0.ring3,0,South Pole Aitken Basin,3269.557285,6538.883134
48.0.ring4,0,South Pole Aitken Basin,3269.557285,6538.883134
48.0.ring5,0,South Pole Aitken Basin,3269.557285,6538.883134
48.0.ring6,0,South Pole Aitken Basin,3269.557285,6538.883134
49,0,South Pole Aitken Basin,287.915436,904.4300082
50,0,South Pole Aitken Basin,82.23469849,125.4152171
51,0,South Pole Aitken Basin,58.924177,53.1713304
52,0,South Pole Aitken Basin,168.9731749,374.6888463
53,0,South Pole Aitken Basin,270.1527479,510.7271263
54,0,South Pole Aitken Basin,318.8110809,505.2884301
54.0.ring1,0,South Pole Aitken Basin,318.8110809,505.2884301
55,0,South Pole Aitken Basin,47.67691605,47.36249864
56,0,Mare Orientale - south,102.5422049,86.10713947
57,0,Mare Orientale - south,25.45346124,18.66324228
58,0,Mare Orientale - south,655.6545308,1783.058169
58.0.ring1,0,Mare Orientale - south,655.6545308,1783.058169
58.0.ring2,0,Mare Orientale - south,655.6545308,1783.058169
59,0,Mare Orientale - south,175.4786953,109.2572782
60,0,Mare Orientale - south,216.7638977,451.2003236
60.0.ring1,0,Mare Orientale - south,216.7638977,451.2003236
61,0,Billy,136.9210785,1133.556955
62,0,Oceanus Procellarum - south,610.4832071,2854.048984
63,0,Oceanus Procellarum - south,170.6346013,208.2899054
64,0,Oceanus Procellarum - south,55.51615694,97.21455967
65,0,Oceanus Procellarum - south,241.4578736,537.4801608
65.0.ring1,0,Oceanus Procellarum - south,241.4578736,537.4801608
65.0.ring2,0,Oceanus Procellarum - south,241.4578736,537.4801608
65.0.ring3,0,Oceanus Procellarum - south,241.4578736,537.4801608
66,0,Oceanus Procellarum - south,6.05344798,2.18513548
67,0,Oceanus Procellarum - south,69.09661749,94.77850694
68,0,Oceanus Procellarum - south,93.55100574,129.0603093
69,0,Oceanus Procellarum - south,12.21631952,7.801369
